YYYY/MM/DD	HH:mm:ss	[B700 Avionics] Internal Navigation System	[B700 Avionics] Internal Navigation System	[B700 Avionics] Internal Navigation System	[B700 Avionics] Internal Navigation System	[B700 Avionics] Internal Navigation System	[B700 Avionics] Internal Navigation System	[B700 Avionics] Internal Navigation System	[B700 Avionics] Internal Navigation System	[B700 Avionics] Internal Navigation System	[B700 Avionics] Internal Navigation System	[B700 Avionics] Internal Navigation System	[B700 Avionics] Internal Navigation System	[B700 Avionics] Internal Navigation System	[B700 Avionics] Internal Navigation System
		Ground Speed	Inertial Altitude	Inertial Vertical Speed	Magenitc Heading	Pitch Angle	Pitch Rate	Roll Angle	Roll Rate	True Heading	Vertical Acceleration	X Acceleration	Y Acceleration	Yaw Rate	Z Acceleration
		Spot	Spot	Spot	Spot	Spot	Spot	Spot	Spot	Spot	Spot	Spot	Spot	Spot	Spot
		knots	fts	ft/min	deg	deg	deg/s	deg	deg/s	deg	g	g	g	deg/s	g
2015/04/08	17:35:30.000000	0.00	0.00	9.999	-1.12	11.13	0.05	1.50	-0.01	0.00	0.006	0.19395	-0.03374	-0.01	-0.01768
2015/04/08	17:35:31.000000	0.00	0.00	1.125	-1.12	11.13	0.02	1.50	0.11	0.00	0.002	0.19415	-0.03313	-0.01	-0.01819
2015/04/08	17:35:32.000000	0.00	0.00	-0.625	-1.13	11.12	0.01	1.50	0.11	0.00	0.010	0.19553	-0.02324	0.02	-0.00746
2015/04/08	17:35:33.000000	0.00	0.00	0.250	-1.14	11.13	0.06	1.49	-0.09	0.00	-0.000	0.19543	-0.01976	0.02	-0.02202
2015/04/08	17:35:34.000000	0.00	0.00	-0.375	-1.14	11.13	0.04	1.50	0.13	0.00	0.011	0.19467	-0.02879	0.06	-0.01021
2015/04/08	17:35:35.000000	0.00	0.00	1.375	-1.14	11.12	0.07	1.51	-0.11	0.00	0.016	0.19362	-0.02997	-0.01	-0.00578
2015/04/08	17:35:36.000000	0.00	0.00	0.125	-1.14	11.12	-0.05	1.50	0.08	0.00	0.007	0.19371	-0.03328	-0.02	-0.01076
