YYYY/MM/DD	HH:mm:ss	[B700 Avionics] Internal Navigation System	[B700 Avionics] Internal Navigation System	[B700 Avionics] Internal Navigation System	[B700 Avionics] Internal Navigation System	[B700 Avionics] Internal Navigation System	[B700 Avionics] Internal Navigation System	[B700 Avionics] Internal Navigation System	[B700 Avionics] Internal Navigation System	[B700 Avionics] Internal Navigation System	[B700 Avionics] Internal Navigation System	[B700 Avionics] Internal Navigation System	[B700 Avionics] Internal Navigation System	[B700 Avionics] Internal Navigation System	[B700 Avionics] Internal Navigation System
2015/03/26	14:59:43.000000	0.20	0.00	-2.000	146.88	10.72	-0.19	0.37	-0.06	147.29	0.009	0.18985	-0.00974	-0.13	-0.00922
2015/03/26	14:59:44.000000	0.23	0.00	-1.375	146.85	10.74	-0.08	0.38	-0.16	147.26	-0.008	0.19455	-0.01218	0.02	-0.02686
2015/03/26	14:59:45.000000	0.25	0.00	2.500	146.85	10.73	-0.05	0.39	0.14	147.26	0.011	0.18806	-0.00600	0.10	-0.00696
2015/03/26	14:59:46.000000	0.22	0.00	3.500	146.85	10.70	0.04	0.38	-0.11	147.26	0.015	0.19052	-0.00591	-0.05	-0.00298
2015/03/26	14:59:47.000000	0.23	0.00	4.250	146.86	10.71	0.14	0.39	-0.01	147.27	-0.015	0.17706	-0.00285	0.00	-0.03110
2015/03/26	14:59:48.000000	0.22	0.00	-0.125	146.85	10.72	-0.07	0.37	-0.08	147.26	-0.008	0.18687	0.00735	-0.06	-0.02599
2015/03/26	14:59:49.000000	0.20	0.00	0.500	146.84	10.70	0.02	0.35	-0.21	147.25	-0.002	0.17578	0.00197	-0.06	-0.01732
2015/03/26	14:59:50.000000	0.23	0.00	-1.375	146.84	10.71	-0.08	0.37	-0.05	147.25	-0.001	0.19211	-0.00035	0.04	-0.01949
2015/03/26	14:59:51.000000	0.22	0.00	-1.750	146.89	10.71	-0.09	0.36	-0.16	147.30	-0.012	0.17311	-0.00395	-0.03	-0.02708
2015/03/26	14:59:52.000000	0.23	0.00	1.250	146.89	10.71	0.02	0.37	0.01	147.31	-0.002	0.19545	-0.02249	-0.02	-0.02144
2015/03/26	14:59:53.000000	0.25	0.00	0.750	146.90	10.73	0.11	0.37	0.05	147.31	-0.010	0.19518	-0.00368	0.10	-0.02930
2015/03/26	14:59:54.000000	0.23	0.00	1.625	146.90	10.71	-0.01	0.38	0.02	147.31	0.014	0.18210	-0.01538	0.15	-0.00250
2015/03/26	14:59:55.000000	0.23	0.00	0.875	146.89	10.70	-0.08	0.38	-0.03	147.30	0.009	0.19177	-0.01744	0.02	-0.00951
2015/03/26	14:59:56.000000	0.23	0.00	0.250	146.93	10.72	0.05	0.37	0.03	147.34	-0.009	0.18919	-0.01010	0.02	-0.02750
2015/03/26	14:59:57.000000	0.23	0.00	3.500	146.90	10.72	0.17	0.37	-0.28	147.31	0.011	0.18163	-0.01184	0.13	-0.00529
2015/03/26	14:59:58.000000	0.23	0.00	1.875	146.89	10.74	0.23	0.37	-0.10	147.30	-0.019	0.18672	-0.00362	0.05	-0.03714
2015/03/26	14:59:59.000000	0.22	0.00	-1.250	146.91	10.70	-0.15	0.37	0.10	147.33	0.007	0.17905	-0.00589	-0.06	-0.00929
2015/03/26	15:00:00.000000	0.23	0.00	1.750	146.93	10.71	-0.01	0.38	-0.07	147.34	-0.002	0.18907	-0.01141	-0.17	-0.02039
2015/03/26	15:00:01.000000	0.20	0.00	-1.000	146.91	10.70	-0.25	0.37	0.02	147.32	-0.018	0.18456	-0.00385	-0.26	-0.03548
2015/03/26	15:00:02.000000	0.22	0.00	2.000	146.93	10.70	0.02	0.36	-0.32	147.34	-0.007	0.18292	-0.00854	-0.19	-0.02425
2015/03/26	15:00:03.000000	0.23	0.00	1.625	146.89	10.69	-0.04	0.36	-0.04	147.30	0.002	0.17996	-0.00220	-0.08	-0.01437
2015/03/26	15:00:04.000000	0.23	0.00	2.000	146.89	10.70	0.08	0.37	0.03	147.30	0.014	0.18819	0.00301	-0.13	-0.00374
2015/03/26	15:00:05.000000	0.27	0.00	1.750	146.88	10.77	0.07	0.39	0.21	147.29	-0.015	0.18977	0.00407	0.05	-0.03336
2015/03/26	15:00:06.000000	0.25	0.00	-0.250	146.91	10.77	0.02	0.41	0.07	147.32	0.007	0.18654	-0.00740	-0.09	-0.01093
2015/03/26	15:00:07.000000	0.23	0.00	-0.250	146.90	10.77	-0.00	0.40	0.01	147.31	0.016	0.18703	-0.00697	-0.05	-0.00117
2015/03/26	15:00:08.000000	0.23	0.00	-0.875	146.88	10.76	-0.08	0.40	0.09	147.29	-0.014	0.18466	-0.00336	-0.03	-0.03178
2015/03/26	15:00:09.000000	0.25	0.00	-0.500	146.89	10.76	-0.04	0.40	0.04	147.30	-0.002	0.19249	0.00340	-0.06	-0.02058
2015/03/26	15:00:10.000000	0.25	0.00	3.500	146.93	10.78	0.24	0.39	-0.09	147.34	-0.008	0.18214	-0.01280	-0.14	-0.02467
2015/03/26	15:00:11.000000	0.25	0.00	0.000	146.91	10.78	0.02	0.39	0.17	147.32	-0.009	0.19081	-0.00119	-0.06	-0.02791
2015/03/26	15:00:12.000000	0.25	0.00	0.750	146.91	10.77	0.13	0.39	0.15	147.32	0.001	0.17661	0.00150	-0.00	-0.01508
2015/03/26	15:00:13.000000	0.27	0.00	-0.125	146.91	10.78	-0.07	0.39	0.08	147.32	-0.010	0.18709	-0.00069	0.11	-0.02753
2015/03/26	15:00:14.000000	0.25	0.00	1.500	146.90	10.76	0.06	0.41	0.09	147.32	0.006	0.18359	-0.00618	0.09	-0.01097
2015/03/26	15:00:15.000000	0.25	0.00	-1.250	146.92	10.75	-0.10	0.40	-0.12	147.33	-0.008	0.18307	-0.00468	-0.00	-0.02542
2015/03/26	15:00:16.000000	0.25	0.00	1.750	146.93	10.77	0.10	0.39	-0.34	147.34	0.003	0.19777	-0.01227	-0.03	-0.01680
2015/03/26	15:00:17.000000	0.23	0.00	1.000	146.92	10.76	0.12	0.39	-0.07	147.33	-0.012	0.17451	-0.01324	-0.12	-0.02783
2015/03/26	15:00:18.000000	0.25	0.00	-1.250	146.90	10.78	-0.13	0.39	0.00	147.32	0.010	0.19666	-0.00764	-0.09	-0.00380
2015/03/26	15:00:19.000000	0.25	0.00	2.375	146.92	10.77	0.13	0.39	-0.05	147.33	0.015	0.19577	-0.00903	-0.05	-0.00359
2015/03/26	15:00:20.000000	0.27	0.00	-0.500	146.89	10.79	0.02	0.39	-0.03	147.30	-0.012	0.19226	-0.00035	0.13	-0.03052
2015/03/26	15:00:21.000000	0.27	0.00	0.625	146.90	10.79	-0.05	0.40	-0.04	147.31	0.005	0.19347	-0.00633	0.14	-0.01382
2015/03/26	15:00:22.000000	0.27	0.00	0.875	146.90	10.79	0.11	0.40	-0.23	147.31	0.011	0.18030	-0.02461	0.05	-0.00996
2015/03/26	15:00:23.000000	0.25	0.00	-0.750	146.91	10.79	-0.04	0.40	-0.10	147.32	-0.011	0.19151	-0.01309	-0.12	-0.02763
2015/03/26	15:00:24.000000	0.23	0.00	-2.250	146.92	10.77	-0.22	0.39	-0.06	147.33	0.011	0.18936	-0.00781	-0.16	-0.00037
2015/03/26	15:00:25.000000	0.25	0.00	1.875	146.91	10.77	0.04	0.39	0.05	147.32	0.010	0.18373	-0.00409	-0.10	-0.00531
2015/03/26	15:00:26.000000	0.27	0.00	-0.625	146.92	10.79	-0.07	0.39	-0.04	147.33	-0.021	0.19513	-0.00493	0.01	-0.03755
2015/03/26	15:00:27.000000	0.25	0.00	1.375	146.93	10.78	0.16	0.39	-0.16	147.34	0.011	0.17961	-0.01598	-0.10	-0.01677
2015/03/26	15:00:28.000000	0.25	0.00	-1.125	146.90	10.76	-0.05	0.40	0.02	147.32	0.009	0.18993	-0.00461	-0.16	-0.00943
2015/03/26	15:00:29.000000	0.28	0.00	0.250	146.90	10.77	0.08	0.40	0.02	147.31	-0.008	0.18497	-0.01456	-0.01	-0.02223
2015/03/26	15:00:30.000000	0.27	0.00	-1.250	146.89	10.76	-0.19	0.39	0.03	147.31	-0.000	0.19501	0.00276	0.06	-0.01390
2015/03/26	15:00:31.000000	0.28	0.00	0.750	146.99	10.77	0.04	0.39	0.04	147.40	-0.002	0.18289	-0.00313	0.13	-0.01619
2015/03/26	15:00:32.000000	0.27	0.00	-0.750	147.05	10.79	0.00	0.40	0.23	147.46	-0.004	0.18466	-0.00414	-0.02	-0.03012
2015/03/26	15:00:33.000000	0.27	0.00	-0.375	147.09	10.78	-0.07	0.39	-0.15	147.50	0.011	0.19127	-0.01553	-0.02	-0.00659
2015/03/26	15:00:34.000000	0.33	0.00	0.250	147.32	10.79	0.03	0.40	-0.15	147.73	-0.002	0.19138	0.00058	0.83	-0.02342
2015/03/26	15:00:35.000000	0.48	0.00	2.250	148.27	10.95	0.25	0.38	-0.06	148.68	0.003	0.21700	-0.01512	0.60	-0.02342
2015/03/26	15:00:36.000000	0.77	0.00	-3.000	148.21	10.95	-0.19	0.30	0.06	148.62	-0.002	0.21945	0.00537	-0.28	-0.02766
2015/03/26	15:00:37.000000	0.98	0.00	1.375	147.53	10.86	0.22	0.30	0.46	147.94	-0.008	0.20148	0.00429	-1.52	-0.03419
2015/03/26	15:00:38.000000	0.86	-0.12	1.125	145.47	10.72	0.03	0.34	0.65	145.88	0.002	0.16469	-0.00151	-3.43	-0.01213
2015/03/26	15:00:39.000000	0.86	-0.12	3.000	141.79	10.64	0.15	0.45	0.40	142.20	0.021	0.23387	-0.00600	-3.39	-0.00581
2015/03/26	15:00:40.000000	0.86	-0.12	-1.375	138.52	10.60	-0.03	0.45	0.69	138.93	-0.008	0.16925	-0.01630	-4.26	-0.02248
2015/03/26	15:00:41.000000	0.58	-0.12	-2.250	133.62	10.50	-0.05	0.48	1.11	134.03	-0.013	0.19545	-0.00697	-5.21	-0.03314
2015/03/26	15:00:42.000000	0.80	-0.12	-0.625	128.78	10.58	0.06	0.55	0.57	129.19	-0.011	0.21951	-0.01964	-3.70	-0.03592
2015/03/26	15:00:43.000000	0.66	-0.12	1.125	124.38	10.51	-0.04	0.56	1.12	124.80	-0.006	0.16710	-0.02087	-5.02	-0.02391
2015/03/26	15:00:44.000000	0.31	-0.12	-1.125	119.31	10.45	-0.17	0.53	0.73	119.72	0.008	0.13071	0.03374	-3.33	-0.00423
2015/03/26	15:00:45.000000	0.31	-0.12	0.875	118.28	10.45	0.24	0.51	-0.20	118.69	-0.008	0.17845	0.00038	0.20	-0.02682
2015/03/26	15:00:46.000000	0.20	0.00	0.625	118.23	10.52	0.11	0.51	0.11	118.64	-0.024	0.21785	0.02007	0.08	-0.03944
2015/03/26	15:00:47.000000	0.20	0.00	-2.250	118.55	10.56	-0.25	0.54	0.12	118.96	-0.020	0.13240	-0.03093	-0.56	-0.02724
2015/03/26	15:00:48.000000	0.03	0.00	1.375	117.09	10.53	-0.06	0.58	0.21	117.50	0.024	0.17487	-0.01714	-1.16	0.00089
2015/03/26	15:00:49.000000	0.09	0.00	-3.250	115.93	10.47	-0.33	0.56	0.11	116.34	0.011	0.13869	-0.00233	-1.31	-0.00099
2015/03/26	15:00:50.000000	0.30	0.00	3.625	116.06	10.51	0.03	0.56	-0.02	116.47	0.008	0.18556	-0.03032	-0.15	-0.01523
2015/03/26	15:00:51.000000	0.31	0.00	3.000	115.95	10.53	0.15	0.55	-0.21	116.36	0.005	0.20082	-0.01343	0.18	-0.02925
2015/03/26	15:00:52.000000	0.31	0.00	1.500	115.90	10.54	0.18	0.55	0.07	116.31	-0.025	0.16057	-0.00392	0.02	-0.04591
2015/03/26	15:00:53.000000	0.33	0.00	0.250	115.91	10.52	0.03	0.55	-0.10	116.32	-0.004	0.18843	0.00226	-0.08	-0.01930
2015/03/26	15:00:54.000000	0.30	0.00	-2.375	115.93	10.51	-0.21	0.54	0.13	116.34	-0.007	0.18639	-0.00450	-0.09	-0.02249
2015/03/26	15:00:55.000000	0.30	0.00	0.125	115.95	10.51	0.15	0.54	-0.04	116.36	0.020	0.17293	-0.01691	0.00	-0.00505
2015/03/26	15:00:56.000000	0.28	0.00	0.125	115.96	10.49	0.05	0.53	-0.13	116.37	0.005	0.17685	-0.00745	0.10	-0.01357
2015/03/26	15:00:57.000000	0.31	0.00	1.875	116.33	10.53	0.01	0.55	-0.06	116.74	0.013	0.18292	0.00427	0.99	-0.00095
2015/03/26	15:00:58.000000	0.28	0.00	-1.625	117.03	10.59	-0.02	0.52	0.14	117.44	-0.025	0.20613	-0.00453	-0.64	-0.04555
2015/03/26	15:00:59.000000	0.28	0.00	-2.375	117.00	10.57	-0.17	0.52	0.16	117.41	-0.010	0.17175	0.00394	-0.15	-0.02333
2015/03/26	15:01:00.000000	0.28	0.00	-0.625	117.02	10.55	-0.08	0.53	0.02	117.43	0.008	0.18851	0.00674	0.27	0.00414
2015/03/26	15:01:01.000000	0.28	0.00	2.250	117.44	10.58	0.23	0.50	-0.08	117.85	0.009	0.18565	0.00365	-0.10	-0.01135
2015/03/26	15:01:02.000000	0.28	0.00	1.250	117.70	10.60	-0.04	0.52	-0.03	118.11	-0.008	0.18770	-0.00168	0.51	-0.02518
2015/03/26	15:01:03.000000	0.30	0.00	-2.750	118.53	10.64	-0.16	0.53	-0.17	118.94	-0.022	0.16339	-0.01457	0.75	-0.03568
2015/03/26	15:01:04.000000	0.31	0.00	0.750	118.55	10.60	-0.02	0.54	-0.02	118.97	0.013	0.17870	-0.00104	0.19	-0.00485
2015/03/26	15:01:05.000000	0.34	0.00	2.000	118.57	10.65	0.11	0.55	0.19	118.98	-0.010	0.18498	-0.00575	-0.04	-0.03287
2015/03/26	15:01:06.000000	0.33	0.00	-0.375	118.61	10.63	-0.05	0.55	-0.00	119.02	0.021	0.20227	-0.01645	-0.04	0.00697
2015/03/26	15:01:07.000000	0.34	0.00	0.625	118.61	10.65	0.13	0.54	0.10	119.02	-0.017	0.17116	-0.01155	-0.01	-0.03238
2015/03/26	15:01:08.000000	0.31	0.00	-0.375	118.61	10.64	-0.01	0.54	0.00	119.03	0.014	0.19728	-0.01813	-0.07	-0.00777
2015/03/26	15:01:09.000000	0.31	0.00	-1.875	118.60	10.62	-0.10	0.53	0.18	119.01	0.003	0.17635	-0.00220	-0.01	-0.00418
2015/03/26	15:01:10.000000	0.33	0.00	1.375	118.62	10.64	0.14	0.53	0.03	119.03	0.023	0.18944	-0.00223	-0.08	0.00473
2015/03/26	15:01:11.000000	0.31	0.00	-2.000	118.60	10.65	-0.25	0.53	0.01	119.01	0.004	0.19855	-0.00291	0.12	-0.01170
2015/03/26	15:01:12.000000	0.33	0.00	1.625	118.61	10.65	0.14	0.53	-0.06	119.02	0.003	0.19165	-0.00975	0.02	-0.01711
2015/03/26	15:01:13.000000	0.31	0.00	-0.500	118.63	10.65	-0.07	0.54	-0.05	119.04	0.001	0.18469	-0.00638	-0.07	-0.01204
2015/03/26	15:01:14.000000	0.33	0.00	1.875	118.65	10.64	0.10	0.54	0.07	119.06	0.000	0.17961	-0.01433	-0.06	-0.02655
2015/03/26	15:01:15.000000	0.34	0.00	-0.375	118.63	10.64	0.02	0.54	0.02	119.04	-0.003	0.18658	-0.01431	0.14	-0.01512
2015/03/26	15:01:16.000000	0.34	0.00	0.375	118.60	10.64	0.08	0.55	-0.00	119.01	-0.006	0.18001	-0.00983	0.22	-0.02406
2015/03/26	15:01:17.000000	0.34	0.00	-2.500	118.62	10.63	-0.15	0.55	0.07	119.03	-0.006	0.19153	-0.01703	0.08	-0.01138
2015/03/26	15:01:18.000000	0.31	0.00	-3.250	118.61	10.64	-0.22	0.54	-0.01	119.02	-0.014	0.17879	-0.02104	-0.00	-0.02434
2015/03/26	15:01:19.000000	0.31	0.00	2.875	118.61	10.65	0.07	0.54	0.06	119.02	0.012	0.18195	-0.00868	-0.11	-0.00377
2015/03/26	15:01:20.000000	0.31	0.00	-2.875	118.59	10.65	-0.21	0.53	0.13	119.00	-0.020	0.18588	0.00363	-0.00	-0.03253
2015/03/26	15:01:21.000000	0.31	0.00	-0.500	118.62	10.64	-0.08	0.52	-0.02	119.03	0.007	0.19186	-0.00078	-0.19	-0.01224
2015/03/26	15:01:22.000000	0.33	0.00	-0.625	118.63	10.65	-0.10	0.52	0.01	119.04	-0.001	0.18864	-0.00897	-0.11	-0.01680
2015/03/26	15:01:23.000000	0.34	0.00	2.000	118.61	10.66	0.18	0.53	0.08	119.02	0.003	0.18530	-0.01262	-0.03	-0.01311
2015/03/26	15:01:24.000000	0.34	0.00	-1.000	118.59	10.64	-0.18	0.53	-0.01	119.00	0.003	0.19150	-0.01488	0.09	-0.00981
2015/03/26	15:01:25.000000	0.34	0.00	3.750	118.60	10.65	0.29	0.53	-0.13	119.01	0.002	0.17630	-0.02055	0.10	-0.01768
2015/03/26	15:01:26.000000	0.33	0.00	-0.125	118.61	10.65	-0.07	0.54	0.11	119.02	0.004	0.18945	-0.02139	-0.02	-0.00827
2015/03/26	15:01:27.000000	0.33	0.00	1.250	118.61	10.64	0.14	0.52	-0.02	119.03	0.015	0.18317	-0.02538	-0.11	-0.00536
2015/03/26	15:01:28.000000	0.33	0.00	0.250	118.61	10.66	0.15	0.51	-0.12	119.03	-0.007	0.17993	-0.01805	-0.03	-0.02856
2015/03/26	15:01:29.000000	0.33	0.00	0.375	118.60	10.65	-0.04	0.52	-0.11	119.01	0.023	0.19830	-0.00423	-0.09	0.00015
2015/03/26	15:01:30.000000	0.31	0.00	0.125	118.61	10.63	-0.06	0.54	0.10	119.02	0.004	0.18405	-0.00298	0.01	-0.00734
2015/03/26	15:01:31.000000	0.36	0.00	4.500	118.61	10.65	0.28	0.53	0.02	119.02	0.017	0.18214	-0.00345	0.05	-0.00787
2015/03/26	15:01:32.000000	0.34	0.00	-0.250	118.61	10.69	-0.12	0.53	0.08	119.02	-0.014	0.19656	-0.01141	0.08	-0.03294
2015/03/26	15:01:33.000000	0.33	0.00	2.125	118.61	10.67	0.00	0.52	0.16	119.02	0.013	0.18243	-0.00304	0.01	-0.00903
2015/03/26	15:01:34.000000	0.33	0.00	0.000	118.60	10.67	-0.02	0.53	-0.02	119.01	-0.015	0.17316	-0.00296	-0.05	-0.03561
2015/03/26	15:01:35.000000	0.38	0.00	-0.750	118.58	10.68	-0.08	0.55	0.14	118.99	-0.010	0.19774	-0.00131	0.13	-0.02586
2015/03/26	15:01:36.000000	0.36	0.00	0.000	118.59	10.68	0.02	0.55	0.04	119.00	-0.004	0.17981	-0.01288	0.15	-0.02338
2015/03/26	15:01:37.000000	0.38	0.00	-3.625	118.63	10.68	-0.11	0.54	0.05	119.04	-0.013	0.18576	-0.02080	0.08	-0.02348
2015/03/26	15:01:38.000000	0.36	0.00	-0.125	118.62	10.65	0.03	0.55	0.17	119.03	0.031	0.19983	-0.01637	-0.01	0.01462
2015/03/26	15:01:39.000000	0.33	0.00	0.750	118.62	10.65	0.02	0.55	-0.08	119.03	0.002	0.17880	-0.00493	-0.04	-0.01552
2015/03/26	15:01:40.000000	0.36	0.00	-0.500	118.61	10.66	0.02	0.55	-0.17	119.03	0.001	0.18483	-0.00894	-0.05	-0.02351
2015/03/26	15:01:41.000000	0.36	0.00	1.000	118.60	10.66	-0.01	0.54	0.03	119.01	0.002	0.19400	-0.01263	0.00	-0.01561
2015/03/26	15:01:42.000000	0.34	0.00	-1.625	118.62	10.67	-0.07	0.54	-0.08	119.03	-0.010	0.17693	-0.00755	0.03	-0.02577
2015/03/26	15:01:43.000000	0.36	0.00	-1.500	118.62	10.67	-0.11	0.54	0.06	119.03	-0.012	0.19572	-0.00745	0.06	-0.02489
2015/03/26	15:01:44.000000	0.36	0.00	0.375	118.61	10.66	-0.05	0.55	0.02	119.02	-0.006	0.17928	-0.01045	0.07	-0.02548
2015/03/26	15:01:45.000000	0.36	0.00	-1.625	118.60	10.67	-0.05	0.55	-0.02	119.02	-0.018	0.19365	-0.00537	0.02	-0.04468
2015/03/26	15:01:46.000000	0.36	0.00	-1.375	118.59	10.63	-0.05	0.55	-0.02	119.00	-0.007	0.17233	-0.01556	-0.03	-0.02399
2015/03/26	15:01:47.000000	0.36	0.00	-2.625	118.58	10.66	-0.14	0.55	0.07	118.99	-0.028	0.18977	-0.00038	-0.05	-0.04749
2015/03/26	15:01:48.000000	0.36	0.00	0.125	118.59	10.64	-0.12	0.54	0.06	119.00	0.001	0.19069	-0.01430	-0.04	-0.00922
2015/03/26	15:01:49.000000	0.34	0.00	0.000	118.59	10.64	-0.11	0.52	0.04	119.00	-0.013	0.17946	-0.00380	0.01	-0.02534
2015/03/26	15:01:50.000000	0.36	0.00	2.250	118.62	10.63	0.06	0.53	0.00	119.04	0.007	0.18135	-0.01036	-0.07	-0.01149
2015/03/26	15:01:51.000000	0.34	0.00	-1.500	118.62	10.64	-0.08	0.51	0.00	119.03	-0.018	0.19318	-0.01660	-0.13	-0.04178
2015/03/26	15:01:52.000000	0.36	0.00	-1.125	118.63	10.64	0.04	0.52	-0.02	119.04	-0.016	0.17862	-0.01295	-0.15	-0.03006
2015/03/26	15:01:53.000000	0.33	0.00	1.125	118.65	10.64	0.04	0.51	-0.00	119.06	0.002	0.18127	-0.00491	-0.25	-0.02423
2015/03/26	15:01:54.000000	0.36	0.00	1.375	118.61	10.64	0.14	0.51	0.01	119.02	-0.002	0.18811	0.00630	-0.11	-0.02620
2015/03/26	15:01:55.000000	0.36	0.00	-1.125	118.61	10.65	0.00	0.51	-0.00	119.02	-0.000	0.19513	0.00143	-0.04	-0.01703
2015/03/26	15:01:56.000000	0.39	0.00	-1.125	118.60	10.64	0.00	0.52	0.02	119.01	-0.009	0.17290	0.00294	0.13	-0.02556
2015/03/26	15:01:57.000000	0.39	0.00	1.750	118.62	10.64	0.07	0.54	0.07	119.03	0.012	0.18845	-0.01201	0.09	-0.01039
2015/03/26	15:01:58.000000	0.36	0.00	-2.375	118.61	10.61	-0.14	0.54	0.02	119.02	0.005	0.17764	-0.01192	0.01	-0.00760
2015/03/26	15:01:59.000000	0.38	0.00	-1.125	118.61	10.63	0.09	0.53	-0.12	119.02	-0.011	0.17799	-0.01427	-0.06	-0.03160
2015/03/26	15:02:00.000000	0.38	0.00	2.625	118.62	10.63	0.20	0.52	-0.00	119.03	0.009	0.19110	-0.01221	-0.11	-0.01315
2015/03/26	15:02:01.000000	0.36	0.00	-2.875	118.59	10.63	-0.18	0.52	0.06	119.00	-0.015	0.18002	-0.00772	-0.12	-0.02039
2015/03/26	15:02:02.000000	0.39	0.00	1.875	118.61	10.62	0.04	0.53	0.03	119.02	0.026	0.19756	-0.00642	0.03	0.01036
2015/03/26	15:02:03.000000	0.39	0.00	1.250	118.62	10.65	0.14	0.53	0.04	119.04	-0.009	0.18816	-0.00981	0.06	-0.03455
2015/03/26	15:02:04.000000	0.38	0.00	1.250	118.61	10.63	0.02	0.53	-0.03	119.03	0.018	0.19324	-0.01022	0.13	0.00064
2015/03/26	15:02:05.000000	0.39	0.00	4.750	118.60	10.65	0.30	0.53	0.03	119.01	0.012	0.18698	-0.00447	0.06	-0.01790
2015/03/26	15:02:06.000000	0.38	0.00	1.375	118.60	10.64	0.07	0.53	-0.14	119.01	0.021	0.19284	-0.00945	0.13	-0.00494
2015/03/26	15:02:07.000000	0.38	0.00	-2.500	118.61	10.64	-0.11	0.52	-0.00	119.02	-0.009	0.17409	-0.01421	0.06	-0.01328
2015/03/26	15:02:08.000000	0.38	0.00	-0.875	118.60	10.64	0.05	0.52	-0.17	119.01	0.004	0.18640	-0.01308	-0.02	-0.01494
2015/03/26	15:02:09.000000	0.38	0.00	1.125	118.59	10.64	0.07	0.53	-0.07	119.00	0.011	0.18491	-0.00209	-0.04	-0.01556
2015/03/26	15:02:10.000000	0.39	0.00	2.875	118.59	10.65	0.18	0.53	-0.10	119.00	-0.006	0.19133	-0.02449	0.02	-0.02911
2015/03/26	15:02:11.000000	0.39	0.00	-1.750	118.59	10.63	-0.15	0.52	-0.04	119.00	-0.009	0.18810	-0.01180	0.05	-0.01845
2015/03/26	15:02:12.000000	0.41	0.00	0.625	118.61	10.66	0.14	0.53	-0.11	119.02	-0.010	0.18652	-0.02133	-0.02	-0.03674
2015/03/26	15:02:13.000000	0.39	0.00	-0.500	118.62	10.62	-0.18	0.53	-0.02	119.03	0.018	0.18045	-0.01820	-0.07	0.00513
2015/03/26	15:02:14.000000	0.39	0.00	-1.375	118.63	10.65	-0.15	0.53	0.05	119.04	-0.027	0.18724	-0.01819	-0.18	-0.03656
2015/03/26	15:02:15.000000	0.38	0.00	-1.000	118.60	10.64	-0.03	0.52	-0.03	119.01	-0.006	0.18034	-0.00359	-0.10	-0.02231
2015/03/26	15:02:16.000000	0.39	0.00	-0.125	118.59	10.64	0.10	0.52	-0.00	119.00	-0.008	0.18285	-0.00607	0.01	-0.02582
2015/03/26	15:02:17.000000	0.41	0.00	-1.000	118.59	10.64	-0.06	0.53	-0.04	119.00	-0.004	0.18260	-0.00731	0.06	-0.02286
2015/03/26	15:02:18.000000	0.41	0.00	-2.125	118.58	10.63	-0.16	0.53	0.05	118.99	-0.007	0.19075	-0.00542	0.08	-0.02000
2015/03/26	15:02:19.000000	0.41	0.00	1.125	118.60	10.65	0.16	0.53	0.11	119.01	-0.001	0.18927	-0.01671	-0.04	-0.02779
2015/03/26	15:02:20.000000	0.39	0.00	-0.875	118.62	10.64	-0.03	0.54	0.18	119.03	0.003	0.17375	-0.01402	-0.09	-0.01402
2015/03/26	15:02:21.000000	0.39	0.00	-2.250	118.61	10.63	-0.21	0.53	0.05	119.02	-0.003	0.19351	-0.00739	-0.10	-0.01865
