YYYY/MM/DD	HH:mm:ss	[B700 Avionics] Air Data Computer	[B700 Avionics] Air Data Computer	[B700 Avionics] Air Data Computer	[B700 Avionics] Air Data Computer	[B700 Avionics] Air Data Computer	[B700 Avionics] Air Data Computer	[B700 Avionics] Air Data Computer
		Indicated Air Speed	Intertial Vertical Speed	True Airspeed	MACH	Outside Air Temperature	Total Air Temperature Static	PALT 1013,25mB
		Spot	Spot	Spot	Spot	Spot	Spot	Spot
		knots	knots	knots	N/A	deg	deg	fts
2015/04/13	14:57:29.000000	6.50	-96.00	6.06	0.01000	-29.50	-29.50	656.00
2015/04/13	14:57:30.000000	3.81	96.00	3.56	0.00588	-29.25	-29.25	655.00
2015/04/13	14:57:31.000000	8.44	160.00	7.88	0.01294	-29.25	-29.25	655.00
2015/04/13	14:57:32.000000	7.44	0.00	6.94	0.01144	-29.25	-29.25	660.00
2015/04/13	14:57:33.000000	4.81	-96.00	4.44	0.00731	-29.25	-29.25	656.00
2015/04/13	14:57:34.000000	0.00	-96.00	0.00	0.00000	-29.25	-29.25	655.00
2015/04/13	14:57:35.000000	6.44	0.00	6.00	0.00988	-29.25	-29.25	657.00
2015/04/13	14:57:36.000000	0.00	64.00	0.00	0.00000	-29.25	-29.25	656.00
2015/04/13	14:57:37.000000	0.00	0.00	0.00	0.00000	-29.25	-29.25	654.00
2015/04/13	14:57:38.000000	2.38	-16.00	2.19	0.00356	-29.25	-29.25	654.00
2015/04/13	14:57:39.000000	0.00	16.00	0.00	0.00000	-29.25	-29.25	656.00
2015/04/13	14:57:40.000000	5.62	0.00	5.25	0.00863	-29.25	-29.25	656.00
2015/04/13	14:57:41.000000	6.38	48.00	5.94	0.00981	-29.25	-29.50	657.00
2015/04/13	14:57:42.000000	0.00	-48.00	0.00	0.00000	-29.50	-29.50	661.00
2015/04/13	14:57:43.000000	3.88	320.00	3.62	0.00594	-29.50	-29.50	655.00
2015/04/13	14:57:44.000000	12.69	-400.00	11.81	0.01950	-29.50	-29.50	661.00
2015/04/13	14:57:45.000000	2.06	112.00	1.88	0.00313	-29.50	-29.50	654.00
2015/04/13	14:57:46.000000	0.00	-160.00	0.00	0.00000	-29.50	-29.50	663.00
2015/04/13	14:57:47.000000	7.12	288.00	6.69	0.01100	-29.50	-29.50	656.00
2015/04/13	14:57:48.000000	6.19	-64.00	5.81	0.00956	-29.50	-29.50	659.00
2015/04/13	14:57:49.000000	7.81	16.00	7.31	0.01200	-29.50	-29.50	656.00
2015/04/13	14:57:50.000000	4.69	-192.00	4.38	0.00719	-29.50	-29.50	656.00
2015/04/13	14:57:51.000000	4.75	64.00	4.38	0.00725	-29.50	-29.50	655.00
2015/04/13	14:57:52.000000	5.56	0.00	5.19	0.00856	-29.50	-29.50	656.00
2015/04/13	14:57:53.000000	0.00	-16.00	0.00	0.00000	-29.50	-29.50	656.00
2015/04/13	14:57:54.000000	1.94	16.00	1.81	0.00294	-29.50	-29.50	654.00
2015/04/13	14:57:55.000000	5.62	16.00	5.25	0.00863	-29.50	-29.50	655.00
