YYYY/MM/DD	HH:mm:ss	[B839 KT19] KT19 radiation thermometer analog	[B840 Integral Radiation Sensors] Pyranometer 3	[B840 Integral Radiation Sensors] Pyranometer 3	[B840 Integral Radiation Sensors] Pyranometer 4	[B840 Integral Radiation Sensors] Pyranometer 4	[B840 Integral Radiation Sensors] Pyrgeometer 3	[B840 Integral Radiation Sensors] Pyrgeometer 3	[B840 Integral Radiation Sensors] Pyrgeometer 4	[B840 Integral Radiation Sensors] Pyrgeometer 4
		Temperature Raw	Shortwave Irradiance top temperature raw	Shortwave Irradiance top value raw	Shortwave Irradiance bottom temperature raw	Shortwave Irradiance bottom value raw	Longwave Irradiance top temperature raw	Longwave Irradiance top value raw	Longwave Irradiance bottom temperature raw	Longwave Irradiance bottom value raw
		Spot	Spot	Spot	Spot	Spot	Spot	Spot	Spot	Spot
		A	Ohm	A	Ohm	A	Ohm	mA	Ohm	mA
2015/04/09	13:21:57.000000	0.008598	92.244	0.005569	91.444	0.005106	92.212	0.009990	91.356	0.011708
2015/04/09	13:21:58.000000	0.008567	92.244	0.005568	91.444	0.005107	92.211	0.009993	91.359	0.011718
2015/04/09	13:21:59.000000	0.008576	92.243	0.005569	91.449	0.005108	92.211	0.009993	91.362	0.011699
2015/04/09	13:22:00.000000	0.008597	92.243	0.005571	91.454	0.005108	92.210	0.009993	91.362	0.011675
2015/04/09	13:22:01.000000	0.008575	92.243	0.005570	91.454	0.005110	92.209	0.009992	91.366	0.011662
2015/04/09	13:22:02.000000	0.008592	92.243	0.005570	91.459	0.005108	92.209	0.009989	91.366	0.011654
2015/04/09	13:22:03.000000	0.008576	92.243	0.005572	91.464	0.005109	92.207	0.009989	91.372	0.011652
2015/04/09	13:22:04.000000	0.008584	92.242	0.005572	91.464	0.005108	92.207	0.009992	91.379	0.011653
2015/04/09	13:22:05.000000	0.008613	92.242	0.005573	91.468	0.005109	92.207	0.009992	91.379	0.011608
2015/04/09	13:22:06.000000	0.008605	92.242	0.005571	91.468	0.005111	92.205	0.009990	91.388	0.011591
2015/04/09	13:22:07.000000	0.008605	92.241	0.005571	91.473	0.005112	92.205	0.009990	91.398	0.011621
2015/04/09	13:22:08.000000	0.008575	92.241	0.005572	91.478	0.005112	92.205	0.009991	91.398	0.011630
2015/04/09	13:22:09.000000	0.008604	92.241	0.005574	91.478	0.005114	92.204	0.009985	91.407	0.011651
2015/04/09	13:22:10.000000	0.008619	92.241	0.005575	91.483	0.005108	92.204	0.009974	91.407	0.011654
2015/04/09	13:22:11.000000	0.008595	92.241	0.005575	91.488	0.005107	92.205	0.009978	91.413	0.011644
2015/04/09	13:22:12.000000	0.008594	92.240	0.005575	91.488	0.005109	92.205	0.009995	91.421	0.011642
2015/04/09	13:22:13.000000	0.008612	92.240	0.005574	91.493	0.005107	92.205	0.009998	91.421	0.011658
2015/04/09	13:22:14.000000	0.008575	92.240	0.005576	91.493	0.005106	92.204	0.009996	91.428	0.011680
2015/04/09	13:22:15.000000	0.008584	92.240	0.005574	91.498	0.005105	92.204	0.009993	91.433	0.011693
2015/04/09	13:22:16.000000	0.008611	92.240	0.005573	91.503	0.005105	92.203	0.009994	91.433	0.011710
2015/04/09	13:22:17.000000	0.008591	92.240	0.005572	91.503	0.005104	92.202	0.009990	91.438	0.011705
2015/04/09	13:22:18.000000	0.008621	92.239	0.005574	91.508	0.005104	92.202	0.009991	91.438	0.011728
2015/04/09	13:22:19.000000	0.008607	92.239	0.005573	91.513	0.005103	92.201	0.009996	91.441	0.011748
2015/04/09	13:22:20.000000	0.008578	92.239	0.005573	91.513	0.005105	92.201	0.009997	91.442	0.011741
2015/04/09	13:22:21.000000	0.008595	92.238	0.005574	91.518	0.005106	92.200	0.010000	91.442	0.011731
2015/04/09	13:22:22.000000	0.008585	92.238	0.005573	91.518	0.005106	92.199	0.009998	91.445	0.011705
2015/04/09	13:22:23.000000	0.008602	92.238	0.005571	91.523	0.005106	92.199	0.009992	91.448	0.011721
2015/04/09	13:22:24.000000	0.008605	92.238	0.005573	91.528	0.005104	92.197	0.009992	91.448	0.011714
2015/04/09	13:22:25.000000	0.008608	92.238	0.005572	91.528	0.005105	92.196	0.009990	91.452	0.011735
2015/04/09	13:22:26.000000	0.008608	92.238	0.005571	91.533	0.005102	92.196	0.009988	91.452	0.011754
2015/04/09	13:22:27.000000	0.008624	92.238	0.005572	91.539	0.005107	92.196	0.009977	91.453	0.011769
2015/04/09	13:22:28.000000	0.008605	92.237	0.005571	91.539	0.005109	92.196	0.009975	91.453	0.011770
2015/04/09	13:22:29.000000	0.008640	92.237	0.005574	91.544	0.005110	92.196	0.009974	91.453	0.011763
2015/04/09	13:22:30.000000	0.008577	92.237	0.005574	91.544	0.005110	92.197	0.009980	91.452	0.011753
2015/04/09	13:22:31.000000	0.008589	92.237	0.005574	91.549	0.005109	92.197	0.009984	91.453	0.011758
2015/04/09	13:22:32.000000	0.008591	92.237	0.005572	91.555	0.005108	92.197	0.009985	91.453	0.011764
2015/04/09	13:22:33.000000	0.008607	92.236	0.005571	91.555	0.005106	92.196	0.009985	91.453	0.011757
2015/04/09	13:22:34.000000	0.008617	92.236	0.005571	91.559	0.005108	92.196	0.009986	91.453	0.011739
2015/04/09	13:22:35.000000	0.008586	92.236	0.005574	91.564	0.005108	92.196	0.009990	91.453	0.011724
2015/04/09	13:22:36.000000	0.008619	92.236	0.005574	91.564	0.005108	92.196	0.009989	91.454	0.011714
2015/04/09	13:22:37.000000	0.008625	92.235	0.005573	91.570	0.005109	92.195	0.009989	91.454	0.011703
2015/04/09	13:22:38.000000	0.008609	92.235	0.005572	91.570	0.005110	92.194	0.009992	91.456	0.011706
2015/04/09	13:22:39.000000	0.008586	92.235	0.005573	91.574	0.005110	92.194	0.009990	91.459	0.011716
2015/04/09	13:22:40.000000	0.008596	92.235	0.005574	91.580	0.005111	92.193	0.009990	91.459	0.011695
2015/04/09	13:22:41.000000	0.008602	92.235	0.005574	91.580	0.005110	92.192	0.009992	91.462	0.011695
2015/04/09	13:22:42.000000	0.008597	92.234	0.005574	91.584	0.005109	92.192	0.009990	91.462	0.011687
2015/04/09	13:22:43.000000	0.008619	92.234	0.005575	91.590	0.005111	92.192	0.009992	91.466	0.011673
2015/04/09	13:22:44.000000	0.008624	92.234	0.005573	91.590	0.005108	92.192	0.009991	91.470	0.011689
2015/04/09	13:22:45.000000	0.008593	92.234	0.005574	91.594	0.005107	92.191	0.009990	91.470	0.011696
2015/04/09	13:22:46.000000	0.008594	92.234	0.005575	91.594	0.005107	92.190	0.009992	91.474	0.011667
2015/04/09	13:22:47.000000	0.008579	92.233	0.005573	91.599	0.005105	92.190	0.010001	91.479	0.011675
2015/04/09	13:22:48.000000	0.008586	92.233	0.005574	91.605	0.005105	92.189	0.009995	91.479	0.011693
2015/04/09	13:22:49.000000	0.008594	92.234	0.005572	91.605	0.005107	92.188	0.009995	91.483	0.011706
2015/04/09	13:22:50.000000	0.008590	92.233	0.005571	91.609	0.005106	92.188	0.009997	91.483	0.011698
2015/04/09	13:22:51.000000	0.008596	92.233	0.005573	91.614	0.005106	92.187	0.009992	91.486	0.011722
2015/04/09	13:22:52.000000	0.008606	92.233	0.005571	91.614	0.005105	92.187	0.009992	91.488	0.011736
2015/04/09	13:22:53.000000	0.008607	92.232	0.005571	91.620	0.005104	92.187	0.009991	91.488	0.011742
2015/04/09	13:22:54.000000	0.008600	92.232	0.005572	91.620	0.005104	92.186	0.009974	91.489	0.011753
2015/04/09	13:22:55.000000	0.008604	92.232	0.005574	91.624	0.005105	92.186	0.009973	91.489	0.011734
2015/04/09	13:22:56.000000	0.008614	92.232	0.005572	91.629	0.005105	92.187	0.009979	91.489	0.011724
2015/04/09	13:22:57.000000	0.008593	92.232	0.005572	91.629	0.005107	92.188	0.009978	91.490	0.011736
2015/04/09	13:22:58.000000	0.008624	92.231	0.005572	91.634	0.005107	92.188	0.009986	91.490	0.011733
2015/04/09	13:22:59.000000	0.008591	92.231	0.005574	91.639	0.005109	92.188	0.009987	91.491	0.011741
2015/04/09	13:23:00.000000	0.008614	92.231	0.005574	91.639	0.005112	92.188	0.009989	91.491	0.011747
2015/04/09	13:23:01.000000	0.008600	92.231	0.005571	91.644	0.005109	92.187	0.009991	91.491	0.011745
2015/04/09	13:23:02.000000	0.008610	92.231	0.005574	91.644	0.005110	92.187	0.009992	91.491	0.011741
2015/04/09	13:23:03.000000	0.008602	92.230	0.005571	91.649	0.005110	92.187	0.009995	91.491	0.011723
2015/04/09	13:23:04.000000	0.008596	92.230	0.005574	91.654	0.005109	92.186	0.009996	91.491	0.011726
2015/04/09	13:23:05.000000	0.008621	92.230	0.005570	91.654	0.005110	92.185	0.009991	91.492	0.011733
2015/04/09	13:23:06.000000	0.008591	92.230	0.005572	91.658	0.005110	92.185	0.009980	91.492	0.011727
2015/04/09	13:23:07.000000	0.008591	92.230	0.005572	91.663	0.005110	92.185	0.009979	91.492	0.011722
2015/04/09	13:23:08.000000	0.008578	92.230	0.005572	91.663	0.005109	92.185	0.009980	91.493	0.011699
2015/04/09	13:23:09.000000	0.008575	92.229	0.005571	91.668	0.005108	92.186	0.009986	91.493	0.011694
2015/04/09	13:23:10.000000	0.008581	92.229	0.005572	91.668	0.005108	92.186	0.009981	91.496	0.011699
2015/04/09	13:23:11.000000	0.008597	92.229	0.005571	91.672	0.005109	92.186	0.009984	91.498	0.011718
2015/04/09	13:23:12.000000	0.008646	92.229	0.005572	91.677	0.005108	92.186	0.009973	91.498	0.011728
2015/04/09	13:23:13.000000	0.008585	92.228	0.005572	91.677	0.005108	92.187	0.009978	91.499	0.011735
2015/04/09	13:23:14.000000	0.008584	92.228	0.005573	91.682	0.005104	92.187	0.009975	91.499	0.011720
2015/04/09	13:23:15.000000	0.008616	92.228	0.005576	91.686	0.005107	92.188	0.009976	91.500	0.011703
2015/04/09	13:23:16.000000	0.008594	92.228	0.005570	91.686	0.005106	92.188	0.009984	91.501	0.011683
