YYYY/MM/DD	HH:mm:ss	[B700 Avionics] Internal Navigation System	[B700 Avionics] Internal Navigation System	[B700 Avionics] Internal Navigation System	[B700 Avionics] Internal Navigation System	[B700 Avionics] Internal Navigation System	[B700 Avionics] Internal Navigation System	[B700 Avionics] Internal Navigation System	[B700 Avionics] Internal Navigation System	[B700 Avionics] Internal Navigation System	[B700 Avionics] Internal Navigation System	[B700 Avionics] Internal Navigation System	[B700 Avionics] Internal Navigation System	[B700 Avionics] Internal Navigation System	[B700 Avionics] Internal Navigation System
		Ground Speed	Inertial Altitude	Inertial Vertical Speed	Magenitc Heading	Pitch Angle	Pitch Rate	Roll Angle	Roll Rate	True Heading	Vertical Acceleration	X Acceleration	Y Acceleration	Yaw Rate	Z Acceleration
		Spot	Spot	Spot	Spot	Spot	Spot	Spot	Spot	Spot	Spot	Spot	Spot	Spot	Spot
		knots	fts	ft/min	deg	deg	deg/s	deg	deg/s	deg	g	g	g	deg/s	g
2015/03/27	13:37:31.000000	0.02	0.00	2.125	133.93	10.82	0.17	0.36	0.02	134.34	0.005	0.17589	-0.00984	-0.00	-0.01508
2015/03/27	13:37:32.000000	0.00	0.00	0.125	133.92	10.82	0.06	0.35	-0.04	134.33	0.004	0.20213	0.00072	-0.08	-0.01711
2015/03/27	13:37:33.000000	0.02	0.00	-4.000	133.92	10.81	-0.46	0.36	0.15	134.33	-0.009	0.18970	-0.00529	0.03	-0.01848
2015/03/27	13:37:34.000000	0.03	0.00	2.125	133.92	10.85	0.21	0.36	-0.05	134.33	-0.009	0.18663	-0.00531	-0.02	-0.02957
2015/03/27	13:37:35.000000	0.00	0.00	-0.875	133.90	10.84	0.02	0.38	-0.01	134.32	-0.016	0.17598	0.00447	-0.05	-0.03018
2015/03/27	13:37:36.000000	0.02	0.00	0.000	133.90	10.82	-0.15	0.37	0.11	134.31	0.005	0.18718	-0.00327	0.07	-0.00992
2015/03/27	13:37:37.000000	0.02	0.00	-0.375	133.91	10.84	0.01	0.36	-0.02	134.33	-0.016	0.18816	0.00215	0.18	-0.03349
