YYYY/MM/DD	HH:mm:ss	[B712 Basic Meteorology] Dynamic Pressure 4	[B712 Basic Meteorology] Humicap 4	[B712 Basic Meteorology] Humicap 4	[B712 Basic Meteorology] Static Pressure Fast 3	[B712 Basic Meteorology] Total Air Temperature Deiced 4
		Dynamic Pressure Raw	Relative Humidity Raw	Temperature raw	Static Pressure Fast Raw	Total Air Temperature deiced Raw
		Spot	Spot	Spot	Spot	Spot
		V	A	A	V	Ohm
2015/03/26	14:33:45.000000	0.099	0.011747	0.008100	4.209	103.368
2015/03/26	14:33:46.000000	0.014	0.011752	0.008103	4.207	103.367
2015/03/26	14:33:47.000000	0.127	0.011780	0.008102	4.209	103.371
2015/03/26	14:33:48.000000	0.109	0.011804	0.008105	4.208	103.369
2015/03/26	14:33:49.000000	0.100	0.011762	0.008100	4.202	103.364
2015/03/26	14:33:50.000000	0.132	0.011785	0.008097	4.210	103.381
2015/03/26	14:33:51.000000	0.092	0.011775	0.008093	4.212	103.379
2015/03/26	14:33:52.000000	0.022	0.011777	0.008103	4.208	103.371
2015/03/26	14:33:53.000000	0.084	0.011778	0.008106	4.203	103.378
2015/03/26	14:33:54.000000	0.067	0.011754	0.008099	4.208	103.375
2015/03/26	14:33:55.000000	0.154	0.011736	0.008102	4.210	103.374
2015/03/26	14:33:56.000000	0.012	0.011674	0.008105	4.207	103.369
2015/03/26	14:33:57.000000	0.154	0.011572	0.008097	4.205	103.368
2015/03/26	14:33:58.000000	0.091	0.011581	0.008100	4.206	103.377
2015/03/26	14:33:59.000000	0.117	0.011580	0.008102	4.207	103.373
2015/03/26	14:34:00.000000	0.107	0.011545	0.008103	4.208	103.374
2015/03/26	14:34:01.000000	0.085	0.011526	0.008104	4.206	103.377
2015/03/26	14:34:02.000000	0.093	0.011463	0.008104	4.202	103.380
2015/03/26	14:34:03.000000	0.096	0.011351	0.008102	4.207	103.374
2015/03/26	14:34:04.000000	0.095	0.011292	0.008103	4.206	103.383
2015/03/26	14:34:05.000000	0.081	0.011053	0.008099	4.207	103.377
2015/03/26	14:34:06.000000	0.093	0.010894	0.008098	4.205	103.374
2015/03/26	14:34:07.000000	0.061	0.010831	0.008095	4.202	103.384
2015/03/26	14:34:08.000000	0.052	0.010799	0.008096	4.206	103.378
2015/03/26	14:34:09.000000	0.098	0.010747	0.008097	4.207	103.383
2015/03/26	14:34:10.000000	0.101	0.010609	0.008093	4.204	103.380
2015/03/26	14:34:11.000000	0.144	0.010587	0.008091	4.207	103.387
2015/03/26	14:34:12.000000	0.098	0.010626	0.008090	4.205	103.380
2015/03/26	14:34:13.000000	0.108	0.010754	0.008089	4.203	103.382
2015/03/26	14:34:14.000000	0.098	0.010819	0.008090	4.201	103.377
2015/03/26	14:34:15.000000	0.123	0.010858	0.008089	4.206	103.381
2015/03/26	14:34:16.000000	0.088	0.010875	0.008086	4.209	103.382
2015/03/26	14:34:17.000000	0.117	0.010949	0.008091	4.206	103.376
2015/03/26	14:34:18.000000	0.075	0.011035	0.008090	4.205	103.383
2015/03/26	14:34:19.000000	0.093	0.011027	0.008089	4.207	103.381
2015/03/26	14:34:20.000000	0.105	0.010893	0.008091	4.204	103.387
