YYYY/MM/DD	HH:mm:ss	[B700 Avionics] Air Data Computer	[B700 Avionics] Air Data Computer	[B700 Avionics] Air Data Computer	[B700 Avionics] Air Data Computer	[B700 Avionics] Air Data Computer	[B700 Avionics] Air Data Computer	[B700 Avionics] Air Data Computer
		Indicated Air Speed	Intertial Vertical Speed	True Airspeed	MACH	Outside Air Temperature	Total Air Temperature Static	PALT 1013,25mB
		Spot	Spot	Spot	Spot	Spot	Spot	Spot
		knots	knots	knots	N/A	deg	deg	fts
2015/03/26	14:33:40.000000	0.00	32.00	0.00	0.00000	8.75	8.75	227.00
2015/03/26	14:33:41.000000	0.00	-32.00	0.00	0.00000	8.75	8.75	227.00
2015/03/26	14:33:42.000000	0.00	-16.00	0.00	0.00000	8.75	8.75	227.00
2015/03/26	14:33:43.000000	0.00	48.00	0.00	0.00000	8.75	8.75	227.00
2015/03/26	14:33:44.000000	0.00	-64.00	0.00	0.00000	8.75	8.75	225.00
2015/03/26	14:33:45.000000	3.94	0.00	3.94	0.00600	8.75	8.75	227.00
2015/03/26	14:33:46.000000	5.69	96.00	5.69	0.00869	8.75	8.75	229.00
2015/03/26	14:33:47.000000	4.06	16.00	4.00	0.00613	8.75	8.75	227.00
2015/03/26	14:33:48.000000	0.00	-64.00	0.00	0.00000	8.75	8.75	226.00
2015/03/26	14:33:49.000000	0.00	-16.00	0.00	0.00000	8.75	8.75	226.00
2015/03/26	14:33:50.000000	2.44	16.00	2.44	0.00375	8.75	8.75	226.00
2015/03/26	14:33:51.000000	0.00	0.00	0.00	0.00000	8.75	8.75	226.00
2015/03/26	14:33:52.000000	0.00	0.00	0.00	0.00000	8.75	8.75	226.00
2015/03/26	14:33:53.000000	3.94	16.00	3.94	0.00600	8.75	8.75	227.00
2015/03/26	14:33:54.000000	2.00	-64.00	2.00	0.00306	8.75	8.75	227.00
2015/03/26	14:33:55.000000	4.81	112.00	4.81	0.00731	8.75	8.75	227.00
2015/03/26	14:33:56.000000	7.75	0.00	7.69	0.01181	8.75	8.75	229.00
2015/03/26	14:33:57.000000	0.00	48.00	0.00	0.00000	8.75	8.75	228.00
2015/03/26	14:33:58.000000	5.31	112.00	5.25	0.00800	8.75	8.75	231.00
2015/03/26	14:33:59.000000	0.00	-96.00	0.00	0.00000	8.75	8.75	227.00
2015/03/26	14:34:00.000000	0.88	32.00	0.88	0.00131	8.75	8.75	228.00
2015/03/26	14:34:01.000000	0.00	-112.00	0.00	0.00000	8.75	8.75	228.00
2015/03/26	14:34:02.000000	0.00	48.00	0.00	0.00000	8.75	8.75	228.00
2015/03/26	14:34:03.000000	0.00	0.00	0.00	0.00000	8.75	8.75	229.00
2015/03/26	14:34:04.000000	1.44	64.00	1.31	0.00200	8.75	8.75	228.00
2015/03/26	14:34:05.000000	0.00	-16.00	0.00	0.00000	8.75	8.75	228.00
2015/03/26	14:34:06.000000	1.31	-16.00	1.31	0.00200	8.75	8.75	228.00
2015/03/26	14:34:07.000000	0.00	48.00	0.00	0.00000	8.75	8.75	230.00
