YYYY/MM/DD	HH:mm:ss	[B700 Avionics] Air Data Computer	[B700 Avionics] Air Data Computer	[B700 Avionics] Air Data Computer	[B700 Avionics] Air Data Computer	[B700 Avionics] Air Data Computer	[B700 Avionics] Air Data Computer	[B700 Avionics] Air Data Computer
		Indicated Air Speed	Intertial Vertical Speed	True Airspeed	MACH	Outside Air Temperature	Total Air Temperature Static	PALT 1013,25mB
		Spot	Spot	Spot	Spot	Spot	Spot	Spot
		knots	knots	knots	N/A	deg	deg	fts
2015/03/27	13:37:31.000000	0.00	-16.00	0.00	0.00000	8.50	8.50	51.00
2015/03/27	13:37:32.000000	0.00	48.00	0.00	0.00000	8.50	8.50	50.00
2015/03/27	13:37:33.000000	0.00	-16.00	0.00	0.00000	8.50	8.50	51.00
2015/03/27	13:37:34.000000	0.00	-16.00	0.00	0.00000	8.50	8.50	48.00
2015/03/27	13:37:35.000000	0.00	-32.00	0.00	0.00000	8.50	8.50	49.00
2015/03/27	13:37:36.000000	0.00	16.00	0.00	0.00000	8.50	8.50	49.00
2015/03/27	13:37:37.000000	4.38	0.00	4.31	0.00663	8.50	8.50	50.00
2015/03/27	13:37:38.000000	3.44	96.00	3.38	0.00519	8.50	8.50	50.00
2015/03/27	13:37:39.000000	4.38	-48.00	4.31	0.00663	8.50	8.50	51.00
2015/03/27	13:37:40.000000	0.00	16.00	0.00	0.00000	8.50	8.50	50.00
2015/03/27	13:37:41.000000	0.00	112.00	0.00	0.00000	8.50	8.50	52.00
2015/03/27	13:37:42.000000	0.00	-144.00	0.00	0.00000	8.50	8.50	48.00
2015/03/27	13:37:43.000000	0.00	-64.00	0.00	0.00000	8.50	8.50	49.00
2015/03/27	13:37:44.000000	0.00	192.00	0.00	0.00000	8.50	8.50	51.00
2015/03/27	13:37:45.000000	0.00	-64.00	0.00	0.00000	8.50	8.50	48.00
2015/03/27	13:37:46.000000	0.00	-160.00	0.00	0.00000	8.50	8.50	50.00
2015/03/27	13:37:47.000000	0.00	32.00	0.00	0.00000	8.50	8.50	50.00
2015/03/27	13:37:48.000000	0.00	144.00	0.00	0.00000	8.50	8.50	53.00
2015/03/27	13:37:49.000000	0.00	160.00	0.00	0.00000	8.50	8.50	58.00
2015/03/27	13:37:50.000000	0.00	112.00	0.00	0.00000	8.50	8.50	54.00
2015/03/27	13:37:51.000000	0.00	-240.00	0.00	0.00000	8.50	8.50	56.00
2015/03/27	13:37:52.000000	0.00	96.00	0.00	0.00000	8.50	8.50	51.00
2015/03/27	13:37:53.000000	0.00	-32.00	0.00	0.00000	8.50	8.50	53.00
2015/03/27	13:37:54.000000	0.00	-144.00	0.00	0.00000	8.50	8.50	47.00
2015/03/27	13:37:55.000000	0.00	-128.00	0.00	0.00000	8.25	8.25	48.00
2015/03/27	13:37:56.000000	0.00	0.00	0.00	0.00000	8.25	8.25	50.00
2015/03/27	13:37:57.000000	0.00	64.00	0.00	0.00000	8.25	8.25	50.00
2015/03/27	13:37:58.000000	0.00	80.00	0.00	0.00000	8.25	8.25	50.00
