YYYY/MM/DD	HH:mm:ss	[B712 Basic Meteorology] Dynamic Pressure 4	[B712 Basic Meteorology] Humicap 4	[B712 Basic Meteorology] Humicap 4	[B712 Basic Meteorology] Static Pressure Fast 3	[B712 Basic Meteorology] Total Air Temperature Deiced 4
		Dynamic Pressure Raw	Relative Humidity Raw	Temperature raw	Static Pressure Fast Raw	Total Air Temperature deiced Raw
		Spot	Spot	Spot	Spot	Spot
		V	A	A	V	Ohm
2015/04/13	16:38:16.000000	3.916	0.003026	0.003030	1.540	91.055
2015/04/13	16:38:17.000000	3.913	0.003020	0.003027	1.535	91.062
2015/04/13	16:38:18.000000	3.960	0.003020	0.003026	1.537	91.055
2015/04/13	16:38:19.000000	3.987	0.003022	0.003032	1.535	91.064
2015/04/13	16:38:20.000000	3.989	0.003033	0.003035	1.537	91.057
2015/04/13	16:38:21.000000	3.914	0.003022	0.003034	1.539	91.069
2015/04/13	16:38:22.000000	3.910	0.003021	0.003036	1.542	91.063
2015/04/13	16:38:23.000000	3.959	0.003023	0.003037	1.540	91.064
2015/04/13	16:38:24.000000	3.948	0.003030	0.003034	1.537	91.072
2015/04/13	16:38:25.000000	3.929	0.003033	0.003033	1.540	91.073
2015/04/13	16:38:26.000000	3.977	0.003034	0.003034	1.539	91.075
2015/04/13	16:38:27.000000	3.981	0.003034	0.003033	1.540	91.084
2015/04/13	16:38:28.000000	3.997	0.003034	0.003032	1.541	91.086
2015/04/13	16:38:29.000000	4.010	0.003032	0.003035	1.538	91.086
2015/04/13	16:38:30.000000	3.987	0.003037	0.003037	1.542	91.094
2015/04/13	16:38:31.000000	4.039	0.003036	0.003039	1.543	91.089
2015/04/13	16:38:32.000000	3.986	0.003040	0.003039	1.544	91.100
2015/04/13	16:38:33.000000	3.982	0.003033	0.003041	1.544	91.102
2015/04/13	16:38:34.000000	4.014	0.003044	0.003043	1.541	91.105
2015/04/13	16:38:35.000000	4.026	0.003043	0.003044	1.540	91.104
2015/04/13	16:38:36.000000	3.979	0.003043	0.003044	1.541	91.096
2015/04/13	16:38:37.000000	3.946	0.003045	0.003047	1.540	91.102
2015/04/13	16:38:38.000000	3.945	0.003040	0.003047	1.538	91.095
2015/04/13	16:38:39.000000	3.896	0.003035	0.003045	1.537	91.087
2015/04/13	16:38:40.000000	3.882	0.003044	0.003037	1.537	91.077
2015/04/13	16:38:41.000000	3.862	0.003041	0.003035	1.536	91.082
2015/04/13	16:38:42.000000	3.854	0.003045	0.003033	1.536	91.068
2015/04/13	16:38:43.000000	3.859	0.003045	0.003029	1.535	91.055
2015/04/13	16:38:44.000000	3.830	0.003045	0.003031	1.537	91.048
2015/04/13	16:38:45.000000	3.798	0.003044	0.003028	1.536	91.042
2015/04/13	16:38:46.000000	3.805	0.003053	0.003020	1.534	91.031
2015/04/13	16:38:47.000000	3.807	0.003051	0.003021	1.533	91.027
2015/04/13	16:38:48.000000	3.756	0.003047	0.003023	1.533	91.024
2015/04/13	16:38:49.000000	3.760	0.003052	0.003020	1.534	91.024
2015/04/13	16:38:50.000000	3.731	0.003049	0.003013	1.536	91.021
2015/04/13	16:38:51.000000	3.733	0.003053	0.003013	1.531	91.020
2015/04/13	16:38:52.000000	3.735	0.003051	0.003011	1.535	91.017
2015/04/13	16:38:53.000000	3.734	0.003058	0.003010	1.534	91.016
2015/04/13	16:38:54.000000	3.728	0.003056	0.003006	1.534	91.007
2015/04/13	16:38:55.000000	3.751	0.003059	0.003007	1.532	90.998
2015/04/13	16:38:56.000000	3.789	0.003062	0.003012	1.531	90.997
2015/04/13	16:38:57.000000	3.744	0.003060	0.003013	1.533	90.987
2015/04/13	16:38:58.000000	3.743	0.003073	0.003018	1.533	90.995
2015/04/13	16:38:59.000000	3.742	0.003068	0.003019	1.532	90.990
2015/04/13	16:39:00.000000	3.686	0.003066	0.003019	1.533	90.994
2015/04/13	16:39:01.000000	3.715	0.003065	0.003011	1.531	90.990
2015/04/13	16:39:02.000000	3.710	0.003069	0.003009	1.533	90.995
2015/04/13	16:39:03.000000	3.693	0.003073	0.003008	1.529	90.988
2015/04/13	16:39:04.000000	3.711	0.003081	0.003015	1.528	90.984
2015/04/13	16:39:05.000000	3.703	0.003085	0.003010	1.528	90.980
2015/04/13	16:39:06.000000	3.682	0.003078	0.003012	1.529	90.969
2015/04/13	16:39:07.000000	3.661	0.003080	0.003011	1.528	90.976
2015/04/13	16:39:08.000000	3.665	0.003084	0.003005	1.531	90.974
2015/04/13	16:39:09.000000	3.693	0.003082	0.003010	1.529	90.970
2015/04/13	16:39:10.000000	3.694	0.003084	0.003013	1.528	90.966
2015/04/13	16:39:11.000000	3.730	0.003086	0.003014	1.529	90.978
2015/04/13	16:39:12.000000	3.716	0.003090	0.003015	1.529	90.974
2015/04/13	16:39:13.000000	3.742	0.003092	0.003018	1.529	90.970
2015/04/13	16:39:14.000000	3.731	0.003090	0.003019	1.529	90.976
2015/04/13	16:39:15.000000	3.737	0.003090	0.003023	1.528	90.983
2015/04/13	16:39:16.000000	3.713	0.003103	0.003024	1.530	90.979
2015/04/13	16:39:17.000000	3.708	0.003098	0.003025	1.532	90.986
2015/04/13	16:39:18.000000	3.749	0.003091	0.003020	1.532	90.986
2015/04/13	16:39:19.000000	3.729	0.003090	0.003014	1.535	90.999
2015/04/13	16:39:20.000000	3.761	0.003091	0.003010	1.531	90.986
2015/04/13	16:39:21.000000	3.766	0.003090	0.003014	1.531	90.999
2015/04/13	16:39:22.000000	3.775	0.003089	0.003018	1.533	91.004
2015/04/13	16:39:23.000000	3.772	0.003084	0.003015	1.534	91.009
2015/04/13	16:39:24.000000	3.758	0.003089	0.003011	1.538	91.023
2015/04/13	16:39:25.000000	3.756	0.003093	0.003013	1.534	91.028
2015/04/13	16:39:26.000000	3.794	0.003096	0.003019	1.537	91.025
2015/04/13	16:39:27.000000	3.805	0.003092	0.003019	1.531	91.034
2015/04/13	16:39:28.000000	3.858	0.003094	0.003017	1.535	91.027
2015/04/13	16:39:29.000000	3.813	0.003091	0.003022	1.539	91.040
2015/04/13	16:39:30.000000	3.854	0.003095	0.003021	1.538	91.042
2015/04/13	16:39:31.000000	3.830	0.003089	0.003024	1.539	91.039
2015/04/13	16:39:32.000000	3.831	0.003090	0.003023	1.533	91.049
2015/04/13	16:39:33.000000	3.871	0.003095	0.003024	1.535	91.045
2015/04/13	16:39:34.000000	3.910	0.003093	0.003023	1.535	91.046
2015/04/13	16:39:35.000000	3.898	0.003095	0.003031	1.532	91.040
2015/04/13	16:39:36.000000	3.906	0.003100	0.003031	1.533	91.045
2015/04/13	16:39:37.000000	3.919	0.003089	0.003034	1.532	91.043
2015/04/13	16:39:38.000000	3.877	0.003101	0.003035	1.535	91.041
2015/04/13	16:39:39.000000	3.858	0.003093	0.003032	1.540	91.044
2015/04/13	16:39:40.000000	3.847	0.003091	0.003031	1.535	91.055
2015/04/13	16:39:41.000000	3.915	0.003094	0.003026	1.537	91.054
2015/04/13	16:39:42.000000	3.891	0.003091	0.003023	1.534	91.052
2015/04/13	16:39:43.000000	3.881	0.003091	0.003025	1.537	91.045
2015/04/13	16:39:44.000000	3.885	0.003084	0.003027	1.538	91.060
2015/04/13	16:39:45.000000	3.864	0.003087	0.003026	1.541	91.060
2015/04/13	16:39:46.000000	3.910	0.003092	0.003029	1.538	91.060
2015/04/13	16:39:47.000000	3.919	0.003090	0.003031	1.535	91.067
2015/04/13	16:39:48.000000	3.943	0.003085	0.003030	1.537	91.070
2015/04/13	16:39:49.000000	3.926	0.003091	0.003035	1.537	91.074
2015/04/13	16:39:50.000000	3.915	0.003078	0.003034	1.540	91.081
2015/04/13	16:39:51.000000	3.927	0.003085	0.003034	1.541	91.079
2015/04/13	16:39:52.000000	3.974	0.003089	0.003039	1.539	91.082
2015/04/13	16:39:53.000000	3.994	0.003087	0.003037	1.534	91.086
2015/04/13	16:39:54.000000	3.965	0.003083	0.003038	1.540	91.094
2015/04/13	16:39:55.000000	3.964	0.003079	0.003034	1.537	91.100
2015/04/13	16:39:56.000000	3.971	0.003083	0.003042	1.536	91.107
2015/04/13	16:39:57.000000	3.983	0.003076	0.003046	1.536	91.107
2015/04/13	16:39:58.000000	3.981	0.003076	0.003044	1.538	91.100
2015/04/13	16:39:59.000000	4.033	0.003080	0.003042	1.537	91.107
2015/04/13	16:40:00.000000	3.973	0.003075	0.003048	1.538	91.099
2015/04/13	16:40:01.000000	3.961	0.003080	0.003052	1.542	91.106
2015/04/13	16:40:02.000000	3.929	0.003074	0.003047	1.542	91.109
2015/04/13	16:40:03.000000	3.944	0.003069	0.003045	1.541	91.115
2015/04/13	16:40:04.000000	4.008	0.003078	0.003047	1.540	91.109
2015/04/13	16:40:05.000000	3.979	0.003068	0.003054	1.539	91.120
2015/04/13	16:40:06.000000	3.963	0.003067	0.003051	1.541	91.110
2015/04/13	16:40:07.000000	3.945	0.003071	0.003046	1.541	91.118
2015/04/13	16:40:08.000000	3.957	0.003069	0.003045	1.541	91.110
2015/04/13	16:40:09.000000	3.969	0.003076	0.003046	1.539	91.107
2015/04/13	16:40:10.000000	3.948	0.003068	0.003046	1.537	91.098
2015/04/13	16:40:11.000000	3.947	0.003065	0.003044	1.538	91.096
2015/04/13	16:40:12.000000	3.907	0.003061	0.003044	1.542	91.096
2015/04/13	16:40:13.000000	3.879	0.003065	0.003040	1.540	91.103
2015/04/13	16:40:14.000000	3.856	0.003064	0.003047	1.541	91.106
2015/04/13	16:40:15.000000	3.868	0.003061	0.003045	1.538	91.102
2015/04/13	16:40:16.000000	3.916	0.003058	0.003044	1.536	91.090
2015/04/13	16:40:17.000000	3.891	0.003061	0.003047	1.535	91.086
2015/04/13	16:40:18.000000	3.890	0.003057	0.003040	1.537	91.096
2015/04/13	16:40:19.000000	3.828	0.003050	0.003041	1.539	91.081
2015/04/13	16:40:20.000000	3.817	0.003061	0.003039	1.539	91.079
2015/04/13	16:40:21.000000	3.842	0.003058	0.003038	1.540	91.083
2015/04/13	16:40:22.000000	3.887	0.003060	0.003034	1.536	91.079
2015/04/13	16:40:23.000000	3.890	0.003057	0.003037	1.537	91.065
2015/04/13	16:40:24.000000	3.867	0.003060	0.003039	1.533	91.061
2015/04/13	16:40:25.000000	3.841	0.003052	0.003046	1.534	91.054
2015/04/13	16:40:26.000000	3.798	0.003053	0.003045	1.535	91.052
2015/04/13	16:40:27.000000	3.747	0.003050	0.003039	1.537	91.050
2015/04/13	16:40:28.000000	3.751	0.003045	0.003038	1.536	91.047
2015/04/13	16:40:29.000000	3.777	0.003046	0.003032	1.532	91.050
2015/04/13	16:40:30.000000	3.762	0.003054	0.003030	1.532	91.035
2015/04/13	16:40:31.000000	3.734	0.003052	0.003032	1.529	91.031
2015/04/13	16:40:32.000000	3.734	0.003050	0.003035	1.529	91.021
2015/04/13	16:40:33.000000	3.747	0.003053	0.003037	1.527	91.017
2015/04/13	16:40:34.000000	3.647	0.003053	0.003039	1.529	91.011
2015/04/13	16:40:35.000000	3.648	0.003055	0.003039	1.526	91.008
2015/04/13	16:40:36.000000	3.656	0.003052	0.003029	1.527	91.002
2015/04/13	16:40:37.000000	3.630	0.003053	0.003035	1.526	90.997
2015/04/13	16:40:38.000000	3.600	0.003060	0.003036	1.525	90.990
2015/04/13	16:40:39.000000	3.592	0.003056	0.003029	1.525	90.983
2015/04/13	16:40:40.000000	3.592	0.003062	0.003030	1.526	90.980
2015/04/13	16:40:41.000000	3.573	0.003059	0.003025	1.525	90.992
2015/04/13	16:40:42.000000	3.563	0.003066	0.003021	1.528	90.988
2015/04/13	16:40:43.000000	3.572	0.003058	0.003020	1.527	90.985
2015/04/13	16:40:44.000000	3.601	0.003056	0.003011	1.526	90.990
2015/04/13	16:40:45.000000	3.636	0.003064	0.003015	1.522	90.976
2015/04/13	16:40:46.000000	3.642	0.003070	0.003025	1.523	90.983
2015/04/13	16:40:47.000000	3.664	0.003072	0.003033	1.522	90.976
2015/04/13	16:40:48.000000	3.599	0.003077	0.003040	1.524	90.984
2015/04/13	16:40:49.000000	3.616	0.003070	0.003034	1.525	90.978
2015/04/13	16:40:50.000000	3.667	0.003071	0.003034	1.526	90.986
2015/04/13	16:40:51.000000	3.632	0.003070	0.003031	1.523	90.987
2015/04/13	16:40:52.000000	3.673	0.003073	0.003031	1.525	90.989
2015/04/13	16:40:53.000000	3.677	0.003079	0.003030	1.529	90.992
2015/04/13	16:40:54.000000	3.644	0.003075	0.003027	1.528	90.990
