YYYY/MM/DD	HH:mm:ss	[B712 Basic Meteorology] Dynamic Pressure 4	[B712 Basic Meteorology] Humicap 4	[B712 Basic Meteorology] Humicap 4	[B712 Basic Meteorology] Static Pressure Fast 3	[B712 Basic Meteorology] Total Air Temperature Deiced 4
		Dynamic Pressure Raw	Relative Humidity Raw	Temperature raw	Static Pressure Fast Raw	Total Air Temperature deiced Raw
		Spot	Spot	Spot	Spot	Spot
		V	A	A	V	Ohm
2015/04/10	14:01:13.000000	0.048	0.014141	0.001555	4.239	88.310
2015/04/10	14:01:14.000000	0.047	0.014154	0.001558	4.238	88.311
2015/04/10	14:01:15.000000	0.055	0.014158	0.001561	4.231	88.315
2015/04/10	14:01:16.000000	0.010	0.014154	0.001559	4.236	88.321
2015/04/10	14:01:17.000000	0.046	0.014160	0.001556	4.242	88.313
2015/04/10	14:01:18.000000	0.043	0.014154	0.001556	4.238	88.312
2015/04/10	14:01:19.000000	0.042	0.014145	0.001559	4.239	88.298
2015/04/10	14:01:20.000000	0.041	0.014163	0.001557	4.238	88.282
2015/04/10	14:01:21.000000	0.064	0.014153	0.001559	4.238	88.291
2015/04/10	14:01:22.000000	0.055	0.014175	0.001562	4.240	88.296
2015/04/10	14:01:23.000000	0.037	0.014171	0.001560	4.236	88.298
2015/04/10	14:01:24.000000	0.078	0.014154	0.001564	4.237	88.300
2015/04/10	14:01:25.000000	0.077	0.014136	0.001561	4.233	88.306
2015/04/10	14:01:26.000000	0.056	0.014132	0.001554	4.238	88.302
2015/04/10	14:01:27.000000	0.059	0.014153	0.001558	4.243	88.306
2015/04/10	14:01:28.000000	0.001	0.014120	0.001559	4.238	88.289
2015/04/10	14:01:29.000000	0.051	0.014152	0.001552	4.238	88.282
2015/04/10	14:01:30.000000	0.045	0.014141	0.001561	4.239	88.285
2015/04/10	14:01:31.000000	0.045	0.014143	0.001562	4.238	88.269
2015/04/10	14:01:32.000000	0.061	0.014151	0.001560	4.240	88.262
2015/04/10	14:01:33.000000	0.045	0.014164	0.001568	4.236	88.279
2015/04/10	14:01:34.000000	0.043	0.014169	0.001568	4.238	88.293
2015/04/10	14:01:35.000000	0.045	0.014158	0.001568	4.245	88.293
2015/04/10	14:01:36.000000	0.060	0.014168	0.001568	4.240	88.302
2015/04/10	14:01:37.000000	0.041	0.014172	0.001568	4.241	88.299
2015/04/10	14:01:38.000000	0.041	0.014170	0.001572	4.242	88.299
2015/04/10	14:01:39.000000	0.046	0.014175	0.001568	4.239	88.302
2015/04/10	14:01:40.000000	0.062	0.014187	0.001573	4.240	88.306
2015/04/10	14:01:41.000000	0.035	0.014176	0.001572	4.237	88.305
2015/04/10	14:01:42.000000	-0.016	0.014167	0.001573	4.237	88.301
2015/04/10	14:01:43.000000	0.035	0.014179	0.001567	4.238	88.298
2015/04/10	14:01:44.000000	0.032	0.014169	0.001567	4.240	88.293
2015/04/10	14:01:45.000000	0.034	0.014164	0.001563	4.239	88.292
2015/04/10	14:01:46.000000	0.053	0.014155	0.001564	4.239	88.304
2015/04/10	14:01:47.000000	0.040	0.014158	0.001562	4.242	88.297
2015/04/10	14:01:48.000000	0.059	0.014154	0.001558	4.239	88.293
