YYYY/MM/DD	HH:mm:ss	[B712 Basic Meteorology] Dynamic Pressure 4	[B712 Basic Meteorology] Humicap 4	[B712 Basic Meteorology] Humicap 4	[B712 Basic Meteorology] Static Pressure Fast 3	[B712 Basic Meteorology] Total Air Temperature Deiced 4
		Dynamic Pressure Raw	Relative Humidity Raw	Temperature raw	Static Pressure Fast Raw	Total Air Temperature deiced Raw
		Spot	Spot	Spot	Spot	Spot
		V	A	A	V	Ohm
2015/03/28	11:59:04.000000	0.093	0.008872	0.008648	4.288	104.307
2015/03/28	11:59:05.000000	0.078	0.008871	0.008650	4.287	104.311
2015/03/28	11:59:06.000000	0.092	0.008948	0.008654	4.281	104.315
2015/03/28	11:59:07.000000	0.125	0.008970	0.008656	4.282	104.311
2015/03/28	11:59:08.000000	0.132	0.009063	0.008655	4.281	104.310
2015/03/28	11:59:09.000000	0.061	0.009160	0.008648	4.284	104.311
2015/03/28	11:59:10.000000	0.082	0.009179	0.008652	4.282	104.308
2015/03/28	11:59:11.000000	0.116	0.009106	0.008653	4.285	104.318
2015/03/28	11:59:12.000000	0.034	0.009114	0.008651	4.284	104.317
2015/03/28	11:59:13.000000	0.093	0.009144	0.008646	4.282	104.319
2015/03/28	11:59:14.000000	0.097	0.009140	0.008646	4.286	104.299
2015/03/28	11:59:15.000000	0.113	0.009153	0.008646	4.281	104.302
2015/03/28	11:59:16.000000	0.093	0.009129	0.008644	4.283	104.308
2015/03/28	11:59:17.000000	0.111	0.009021	0.008644	4.283	104.300
2015/03/28	11:59:18.000000	0.125	0.009006	0.008650	4.281	104.311
2015/03/28	11:59:19.000000	0.071	0.008975	0.008646	4.283	104.309
2015/03/28	11:59:20.000000	0.100	0.008942	0.008644	4.278	104.309
2015/03/28	11:59:21.000000	0.055	0.008930	0.008648	4.288	104.307
2015/03/28	11:59:22.000000	0.107	0.008919	0.008649	4.279	104.312
2015/03/28	11:59:23.000000	0.086	0.008916	0.008646	4.285	104.310
2015/03/28	11:59:24.000000	0.096	0.008916	0.008645	4.289	104.313
2015/03/28	11:59:25.000000	0.088	0.008938	0.008642	4.284	104.306
2015/03/28	11:59:26.000000	0.087	0.008957	0.008636	4.286	104.310
2015/03/28	11:59:27.000000	0.114	0.009022	0.008637	4.284	104.304
2015/03/28	11:59:28.000000	0.131	0.009037	0.008638	4.280	104.305
2015/03/28	11:59:29.000000	0.121	0.009059	0.008632	4.280	104.301
2015/03/28	11:59:30.000000	0.110	0.008998	0.008631	4.283	104.300
2015/03/28	11:59:31.000000	0.073	0.008957	0.008629	4.283	104.307
2015/03/28	11:59:32.000000	0.110	0.008910	0.008626	4.279	104.303
2015/03/28	11:59:33.000000	0.093	0.008899	0.008629	4.286	104.310
2015/03/28	11:59:34.000000	0.072	0.008889	0.008632	4.282	104.306
2015/03/28	11:59:35.000000	0.097	0.008941	0.008627	4.284	104.311
2015/03/28	11:59:36.000000	0.106	0.008977	0.008626	4.278	104.310
2015/03/28	11:59:37.000000	0.110	0.009016	0.008626	4.284	104.300
2015/03/28	11:59:38.000000	0.107	0.009051	0.008621	4.284	104.295
2015/03/28	11:59:39.000000	0.110	0.009069	0.008622	4.280	104.297
