YYYY/MM/DD	HH:mm:ss	[B712 Basic Meteorology] Dynamic Pressure 4	[B712 Basic Meteorology] Humicap 4	[B712 Basic Meteorology] Humicap 4	[B712 Basic Meteorology] Static Pressure Fast 3	[B712 Basic Meteorology] Total Air Temperature Deiced 4
		Dynamic Pressure Raw	Relative Humidity Raw	Temperature raw	Static Pressure Fast Raw	Total Air Temperature deiced Raw
		Spot	Spot	Spot	Spot	Spot
		V	A	A	V	Ohm
2015/04/13	14:57:35.000000	0.088	0.012954	0.001065	4.078	86.228
2015/04/13	14:57:36.000000	0.063	0.012964	0.001061	4.081	86.226
2015/04/13	14:57:37.000000	0.068	0.012935	0.001055	4.074	86.222
2015/04/13	14:57:38.000000	0.064	0.012948	0.001062	4.078	86.218
2015/04/13	14:57:39.000000	0.074	0.012938	0.001067	4.079	86.227
2015/04/13	14:57:40.000000	0.076	0.012959	0.001069	4.081	86.238
2015/04/13	14:57:41.000000	0.079	0.012987	0.001067	4.077	86.242
2015/04/13	14:57:42.000000	0.072	0.012967	0.001074	4.076	86.257
2015/04/13	14:57:43.000000	0.068	0.012952	0.001077	4.080	86.270
2015/04/13	14:57:44.000000	0.064	0.012974	0.001076	4.082	86.279
2015/04/13	14:57:45.000000	0.077	0.012966	0.001068	4.082	86.263
2015/04/13	14:57:46.000000	0.068	0.012955	0.001069	4.078	86.268
2015/04/13	14:57:47.000000	0.080	0.012994	0.001077	4.081	86.267
2015/04/13	14:57:48.000000	0.078	0.012975	0.001068	4.080	86.252
2015/04/13	14:57:49.000000	0.086	0.012982	0.001064	4.080	86.254
2015/04/13	14:57:50.000000	0.078	0.012993	0.001060	4.077	86.242
2015/04/13	14:57:51.000000	0.075	0.012983	0.001060	4.079	86.243
2015/04/13	14:57:52.000000	0.073	0.012987	0.001055	4.078	86.249
2015/04/13	14:57:53.000000	0.073	0.012989	0.001055	4.084	86.248
2015/04/13	14:57:54.000000	0.066	0.013010	0.001054	4.081	86.259
2015/04/13	14:57:55.000000	0.071	0.012996	0.001050	4.074	86.248
2015/04/13	14:57:56.000000	0.070	0.012996	0.001049	4.080	86.248
2015/04/13	14:57:57.000000	0.058	0.013004	0.001057	4.083	86.238
2015/04/13	14:57:58.000000	0.068	0.013009	0.001050	4.080	86.225
2015/04/13	14:57:59.000000	0.082	0.012990	0.001053	4.079	86.221
2015/04/13	14:58:00.000000	0.078	0.013014	0.001051	4.082	86.231
2015/04/13	14:58:01.000000	0.058	0.013001	0.001053	4.076	86.227
2015/04/13	14:58:02.000000	0.064	0.013023	0.001059	4.080	86.215
2015/04/13	14:58:03.000000	0.068	0.013024	0.001057	4.078	86.218
2015/04/13	14:58:04.000000	0.073	0.013005	0.001055	4.076	86.216
2015/04/13	14:58:05.000000	0.088	0.013018	0.001059	4.079	86.215
2015/04/13	14:58:06.000000	0.064	0.013026	0.001056	4.080	86.214
2015/04/13	14:58:07.000000	0.070	0.013036	0.001054	4.081	86.210
2015/04/13	14:58:08.000000	0.079	0.013031	0.001053	4.080	86.220
2015/04/13	14:58:09.000000	0.070	0.013016	0.001046	4.080	86.204
2015/04/13	14:58:10.000000	0.074	0.013038	0.001046	4.081	86.201
