YYYY/MM/DD	HH:mm:ss	Type	Level	Origin	Message
2015/04/07	16:12:23.452528	Information	1688366477	DMS.DMS_SystemMonitor.Channels	[Main - StateChange GPS3] CurrentState = 000001001: Error
2015/04/07	16:12:23.452576	Information	1773665825	DMS.DMS_SystemMonitor.Channels	[Main - StateChange DMS-FE ADAC1] CurrentState = 000000000: OK
2015/04/07	16:12:23.452708	Error	601752936	DMS.DMS_SystemMonitor.Channels	[Main - Timeout GPS2] OldState = 100000000: Timed out
2015/04/07	16:12:23.452920	Information	835148916	DMS.DMS_SystemMonitor.Channels	[Main - StateChange] DMS_SystemMonitor OldState = 100111111, New State = 100111001
2015/04/07	16:12:24.453652	Information	1688366475	DMS.DMS_SystemMonitor.Channels	[Main - StateChange GPS5] CurrentState = 000001001: Error
2015/04/07	16:12:24.453680	Information	1688366478	DMS.DMS_SystemMonitor.Channels	[Main - StateChange GPS4] CurrentState = 000000000: OK
2015/04/07	16:12:24.453701	Information	1688366477	DMS.DMS_SystemMonitor.Channels	[Main - StateChange GPS3] CurrentState = 000000000: OK
2015/04/07	16:12:24.453724	Information	1688366477	DMS.DMS_SystemMonitor.Channels	[Main - StateChange GPS3] CurrentState = 000001001: Error
2015/04/07	16:12:24.453747	Information	1688366480	DMS.DMS_SystemMonitor.Channels	[Main - StateChange GPS2] CurrentState = 000001001: Error
2015/04/07	16:12:24.453770	Information	1688366475	DMS.DMS_SystemMonitor.Channels	[Main - StateChange GPS5] CurrentState = 000000000: OK
2015/04/07	16:12:24.453800	Information	1688366480	DMS.DMS_SystemMonitor.Channels	[Main - StateChange GPS2] CurrentState = 000000000: OK
2015/04/07	16:12:24.454072	Information	601752941	DMS.DMS_SystemMonitor.Channels	[Main - Timeout GPS5] Reset [Number of occurrences = 152]
2015/04/07	16:12:25.455224	Information	1688366475	DMS.DMS_SystemMonitor.Channels	[Main - StateChange GPS5] CurrentState = 000001001: Error
2015/04/07	16:12:25.455259	Information	1688366480	DMS.DMS_SystemMonitor.Channels	[Main - StateChange GPS2] CurrentState = 000001001: Error
2015/04/07	16:12:25.455282	Information	1688366477	DMS.DMS_SystemMonitor.Channels	[Main - StateChange GPS3] CurrentState = 000000000: OK
2015/04/07	16:12:25.455303	Information	1688366478	DMS.DMS_SystemMonitor.Channels	[Main - StateChange GPS4] CurrentState = 000001001: Error
2015/04/07	16:12:25.455326	Information	1688366475	DMS.DMS_SystemMonitor.Channels	[Main - StateChange GPS5] CurrentState = 000000000: OK
2015/04/07	16:12:26.456375	Information	1688366475	DMS.DMS_SystemMonitor.Channels	[Main - StateChange GPS5] CurrentState = 000001001: Error
2015/04/07	16:12:26.456414	Information	1688366480	DMS.DMS_SystemMonitor.Channels	[Main - StateChange GPS2] CurrentState = 000000000: OK
2015/04/07	16:12:26.456437	Information	1688366478	DMS.DMS_SystemMonitor.Channels	[Main - StateChange GPS4] CurrentState = 000000000: OK
2015/04/07	16:12:26.456460	Information	1688366478	DMS.DMS_SystemMonitor.Channels	[Main - StateChange GPS4] CurrentState = 000001001: Error
2015/04/07	16:12:26.456483	Information	1688366475	DMS.DMS_SystemMonitor.Channels	[Main - StateChange GPS5] CurrentState = 000000000: OK
2015/04/07	16:12:26.456528	Information	1688366478	DMS.DMS_SystemMonitor.Channels	[Main - StateChange GPS4] CurrentState = 000000000: OK
2015/04/07	16:12:26.456864	Information	835148916	DMS.DMS_SystemMonitor.Channels	[Main - StateChange] DMS_SystemMonitor OldState = 100111001, New State = 100110001
2015/04/07	16:12:43.473450	Information	1688366480	DMS.DMS_SystemMonitor.Channels	[Main - StateChange GPS2] CurrentState = 000001001: Error
2015/04/07	16:12:43.473471	Information	1688366480	DMS.DMS_SystemMonitor.Channels	[Main - StateChange GPS2] CurrentState = 000000000: OK
2015/04/07	16:12:45.475372	Information	1688366480	DMS.DMS_SystemMonitor.Channels	[Main - StateChange GPS2] CurrentState = 000001001: Error
2015/04/07	16:12:45.475399	Information	1688366480	DMS.DMS_SystemMonitor.Channels	[Main - StateChange GPS2] CurrentState = 000000000: OK
2015/04/07	16:13:02.492538	Information	1688366478	DMS.DMS_SystemMonitor.Channels	[Main - StateChange GPS4] CurrentState = 000001001: Error
2015/04/07	16:13:02.492573	Information	1688366478	DMS.DMS_SystemMonitor.Channels	[Main - StateChange GPS4] CurrentState = 000000000: OK
2015/04/07	16:13:06.497973	Information	1688366480	DMS.DMS_SystemMonitor.Channels	[Main - StateChange GPS2] CurrentState = 000001001: Error
2015/04/07	16:13:06.498001	Information	1688366480	DMS.DMS_SystemMonitor.Channels	[Main - StateChange GPS2] CurrentState = 000000000: OK
2015/04/07	16:13:10.502336	Information	1688366475	DMS.DMS_SystemMonitor.Channels	[Main - StateChange GPS5] CurrentState = 000001001: Error
2015/04/07	16:13:10.502358	Information	1688366475	DMS.DMS_SystemMonitor.Channels	[Main - StateChange GPS5] CurrentState = 000000000: OK
2015/04/07	16:13:12.504289	Information	1688366477	DMS.DMS_SystemMonitor.Channels	[Main - StateChange GPS3] CurrentState = 000001001: Error
2015/04/07	16:13:12.504317	Information	1688366477	DMS.DMS_SystemMonitor.Channels	[Main - StateChange GPS3] CurrentState = 000000000: OK
2015/04/07	16:13:55.544710	Information	1416129901	DMS.DMS_SystemMonitor.Channels	[Main - Timeout KT19 serial] Reset [Number of occurrences = 243]
2015/04/07	16:13:55.545009	Information	835148916	DMS.DMS_SystemMonitor.Channels	[Main - StateChange] DMS_SystemMonitor OldState = 100110001, New State = 000110001
2015/04/07	18:28:55.204474	Error	1416129901	DMS.DMS_SystemMonitor.Channels	[Main - Timeout KT19 serial] OldState = 100000000: Timed out
2015/04/07	18:28:55.204690	Information	835148916	DMS.DMS_SystemMonitor.Channels	[Main - StateChange] DMS_SystemMonitor OldState = 000110001, New State = 100110001
2015/04/07	18:28:56.205389	Error	1416129901	DMS.DMS_SystemMonitor.Channels	[Main - Timeout KT19 serial] OldState = 100000000: Timed out
2015/04/07	18:28:56.205424	Error	126756693	DMS.DMS_SystemMonitor.Channels	[Main - Timeout Pyrgeometer 2] OldState = 100000000: Timed out
2015/04/07	18:28:56.205459	Error	126756696	DMS.DMS_SystemMonitor.Channels	[Main - Timeout Pyrgeometer 1] OldState = 100000000: Timed out
2015/04/07	18:28:56.205472	Error	1065069244	DMS.DMS_SystemMonitor.Channels	[Main - Timeout KT19 analog] OldState = 100000000: Timed out
2015/04/07	18:28:56.205518	Error	273729122	DMS.DMS_SystemMonitor.Channels	[Main - Timeout Pyranometer 2] OldState = 100000000: Timed out
2015/04/07	18:28:56.205562	Error	273729135	DMS.DMS_SystemMonitor.Channels	[Main - Timeout Pyranometer 1] OldState = 100000000: Timed out
2015/04/07	18:28:57.206396	Error	1304716958	DMS.DMS_SystemMonitor.Channels	[Main - Timeout ADAR1] OldState = 100000000: Timed out
2015/04/07	18:28:57.206439	Error	126756693	DMS.DMS_SystemMonitor.Channels	[Main - Timeout Pyrgeometer 2] OldState = 100000000: Timed out
2015/04/07	18:28:57.206469	Error	126756696	DMS.DMS_SystemMonitor.Channels	[Main - Timeout Pyrgeometer 1] OldState = 100000000: Timed out
2015/04/07	18:28:57.206482	Error	1065069244	DMS.DMS_SystemMonitor.Channels	[Main - Timeout KT19 analog] OldState = 100000000: Timed out
2015/04/07	18:28:57.206526	Error	273729122	DMS.DMS_SystemMonitor.Channels	[Main - Timeout Pyranometer 2] OldState = 100000000: Timed out
2015/04/07	18:28:57.206593	Error	273729135	DMS.DMS_SystemMonitor.Channels	[Main - Timeout Pyranometer 1] OldState = 100000000: Timed out
2015/04/07	18:28:58.207346	Error	1304716958	DMS.DMS_SystemMonitor.Channels	[Main - Timeout ADAR1] OldState = 100000000: Timed out
2015/04/07	18:28:58.890150	Error	1512021552	DMS.DMS_Frontend.ADAR1	[Subsystem - Receive Timeout] ADAR1 [client-mode 192.168.75.12:30000] 00:00:10 (hh:mm:ss)
2015/04/07	18:28:58.891004	Information	567668653	DMS.DMS_Frontend.ADAR1	[Subsystem - Connection Established] client-mode 192.168.75.12:30000
2015/04/07	18:28:58.931793	Warning	530556610	DMS.DMS_Frontend.ADAR1	[Databuffer - Buffer 25(KT19analog) Error]  sequence-counter not valid (85696|85571)
2015/04/07	18:28:58.931909	Warning	145015406	DMS.DMS_Frontend.ADAR1	[Databuffer - Buffer 27(KT19serial) Error]  sequence-counter not valid (40531|40469)
2015/04/07	18:28:58.992206	Warning	944664574	DMS.DMS_Frontend.ADAR1	[Databuffer - Buffer 62(Pyrgeo_top) Error]  sequence-counter not valid (85697|85571)
2015/04/07	18:28:58.992303	Warning	1430879256	DMS.DMS_Frontend.ADAR1	[Databuffer - Buffer 63(Pyrano_bottom) Error]  sequence-counter not valid (85697|85571)
2015/04/07	18:28:58.992379	Warning	1676928086	DMS.DMS_Frontend.ADAR1	[Databuffer - Buffer 64(Pyrgeo_bottom) Error]  sequence-counter not valid (85697|85571)
2015/04/07	18:28:58.992452	Warning	916581328	DMS.DMS_Frontend.ADAR1	[Databuffer - Buffer 24(Pyrano_top) Error]  sequence-counter not valid (85697|85571)
2015/04/07	18:28:59.208249	Information	1773601358	DMS.DMS_SystemMonitor.Channels	[Main - StateChange DMS-FE ADAR1] CurrentState = 000000010: Error
2015/04/07	18:28:59.208319	Information	126756693	DMS.DMS_SystemMonitor.Channels	[Main - Timeout Pyrgeometer 2] Reset [Number of occurrences = 3]
2015/04/07	18:28:59.208355	Information	126756696	DMS.DMS_SystemMonitor.Channels	[Main - Timeout Pyrgeometer 1] Reset [Number of occurrences = 3]
2015/04/07	18:28:59.208403	Information	273729122	DMS.DMS_SystemMonitor.Channels	[Main - Timeout Pyranometer 2] Reset [Number of occurrences = 3]
2015/04/07	18:28:59.208448	Information	273729135	DMS.DMS_SystemMonitor.Channels	[Main - Timeout Pyranometer 1] Reset [Number of occurrences = 3]
2015/04/07	18:28:59.208573	Information	835148916	DMS.DMS_SystemMonitor.Channels	[Main - StateChange] DMS_SystemMonitor OldState = 100110001, New State = 100110011
2015/04/07	18:28:59.335102	Warning	969699550	DMS.DMS_Frontend.ADAR1	[Databuffer - Buffer 22(ADAR1) Error]  sequence-counter not valid (8571|8559)
2015/04/07	18:29:00.209334	Information	1304716958	DMS.DMS_SystemMonitor.Channels	[Main - Timeout ADAR1] Reset [Number of occurrences = 3]
2015/04/07	18:29:00.209374	Information	1416129901	DMS.DMS_SystemMonitor.Channels	[Main - Timeout KT19 serial] Reset [Number of occurrences = 5]
2015/04/07	18:29:00.209420	Information	1065069244	DMS.DMS_SystemMonitor.Channels	[Main - Timeout KT19 analog] Reset [Number of occurrences = 4]
2015/04/07	18:29:00.209597	Information	835148916	DMS.DMS_SystemMonitor.Channels	[Main - StateChange] DMS_SystemMonitor OldState = 100110011, New State = 000110011
2015/04/07	18:29:01.210559	Information	1773601358	DMS.DMS_SystemMonitor.Channels	[Main - StateChange DMS-FE ADAR1] CurrentState = 000000000: OK
2015/04/07	18:29:01.210900	Information	835148916	DMS.DMS_SystemMonitor.Channels	[Main - StateChange] DMS_SystemMonitor OldState = 000110011, New State = 000110001
2015/04/07	19:15:54.009266	Warning	0	ValuePool	VP_dms1 Cons.: DMS-OPERATOR1.BMET_P6 at DMS-OPERATOR1 with IP 192.168.75.52 port 2855: Discarded samples: 11
2015/04/07	19:15:59.069399	Warning	0	ValuePool	VP_dms1 Cons.: DMS-OPERATOR1.BMET_P6 at DMS-OPERATOR1 with IP 192.168.75.52 port 2855: Discarded samples: 30
2015/04/07	20:46:06.693267	Warning	0	ValuePool	VP_dms1 Cons.: DMS-OPERATOR1.BMET_Graph_P6 at DMS-OPERATOR1 with IP 192.168.75.52 port 3070: Discarded samples: 27
2015/04/07	20:51:34.316041	Information	269640418	DMS.DMS_SystemMonitor	[Main - Stop] Stopping
2015/04/07	20:51:40.889496	Information	269640418	DMS.DMS_ChannelDump	[Main - Stop] Stopped.
