wDateTime_merged,wH2Ocorr_amb_merged
09.04.2015 13:50:08,0.539882
09.04.2015 13:50:09,0.523962
09.04.2015 13:50:10,0.514063
09.04.2015 13:50:11,0.522666
09.04.2015 13:50:12,0.523818
09.04.2015 13:50:13,0.53667
09.04.2015 13:50:14,0.529807
09.04.2015 13:50:15,0.53084
09.04.2015 13:50:16,0.519934
09.04.2015 13:50:17,0.517412
09.04.2015 13:50:18,0.518419
09.04.2015 13:50:19,0.50036
09.04.2015 13:50:20,0.493526
09.04.2015 13:50:21,0.49066
09.04.2015 13:50:22,0.48515
09.04.2015 13:50:23,0.463242
09.04.2015 13:50:24,0.460976
09.04.2015 13:50:25,0.464636
09.04.2015 13:50:26,0.438971
09.04.2015 13:50:27,0.42115
09.04.2015 13:50:28,0.414728
09.04.2015 13:50:29,0.410914
09.04.2015 13:50:30,0.411574
09.04.2015 13:50:31,0.408079
09.04.2015 13:50:32,0.401989
09.04.2015 13:50:33,0.399167
09.04.2015 13:50:34,0.398697
09.04.2015 13:50:35,0.395355
09.04.2015 13:50:36,0.394764
09.04.2015 13:50:37,0.39366
09.04.2015 13:50:38,0.391138
09.04.2015 13:50:39,0.38699
09.04.2015 13:50:40,0.387395
09.04.2015 13:50:41,0.388508
09.04.2015 13:50:42,0.387322
09.04.2015 13:50:43,0.387036
09.04.2015 13:50:44,0.387551
09.04.2015 13:50:45,0.386828
09.04.2015 13:50:46,0.387538
09.04.2015 13:50:47,0.387956
09.04.2015 13:50:48,0.389495
09.04.2015 13:50:49,0.390202
09.04.2015 13:50:50,0.388739
09.04.2015 13:50:51,0.389042
09.04.2015 13:50:52,0.390281
09.04.2015 13:50:53,0.389646
09.04.2015 13:50:54,0.389817
09.04.2015 13:50:55,0.388314
09.04.2015 13:50:56,0.387776
09.04.2015 13:50:57,0.387608
09.04.2015 13:50:58,0.387303
09.04.2015 13:50:59,0.386855
09.04.2015 13:51:00,0.384801
09.04.2015 13:51:01,0.382856
09.04.2015 13:51:02,0.383881
09.04.2015 13:51:03,0.384284
09.04.2015 13:51:04,0.381745
09.04.2015 13:51:05,0.382435
09.04.2015 13:51:06,0.381727
09.04.2015 13:51:07,0.377677
09.04.2015 13:51:08,0.378704
09.04.2015 13:51:09,0.375706
09.04.2015 13:51:10,0.374972
09.04.2015 13:51:11,0.368807
09.04.2015 13:51:12,0.370967
09.04.2015 13:51:13,0.371354
09.04.2015 13:51:14,0.363765
09.04.2015 13:51:15,0.36334
09.04.2015 13:51:16,0.361528
09.04.2015 13:51:17,0.359273
09.04.2015 13:51:18,0.360534
09.04.2015 13:51:19,0.359315
09.04.2015 13:51:20,0.360067
09.04.2015 13:51:21,0.357327
09.04.2015 13:51:22,0.359918
09.04.2015 13:51:23,0.35875
09.04.2015 13:51:24,0.359559
09.04.2015 13:51:25,0.353998
09.04.2015 13:51:26,0.345775
09.04.2015 13:51:27,0.343815
09.04.2015 13:51:28,0.341552
09.04.2015 13:51:29,0.339724
09.04.2015 13:51:30,0.335599
09.04.2015 13:51:31,0.333718
09.04.2015 13:51:32,0.336217
09.04.2015 13:51:33,0.334432
09.04.2015 13:51:34,0.336943
09.04.2015 13:51:35,0.335979
09.04.2015 13:51:36,0.337651
09.04.2015 13:51:37,0.340398
